Algo,Départ,Distance,Temps (s),Aperçu
AG,AG,59.97,1.5271,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Versailles,60.79,0.0001,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Montreuil,61.12,0.0001,Montreuil → Bobigny → Drancy ... Angers → Orléans → Montreuil
KNN,Saint-Denis,61.16,0.0001,Saint-Denis → Saint-Ouen → Clichy ... Angers → Orléans → Saint-Denis
KNN,Meaux,61.17,0.0001,Meaux → Chelles → Noisy-le-Grand ... Angers → Orléans → Meaux
KNN,Vitry-sur-Seine,61.18,0.0001,Vitry-sur-Seine → Ivry-sur-Seine → Villejuif ... Angers → Orléans → Vitry-sur-Seine
KNN,Clichy,61.19,0.0001,Clichy → Levallois-Perret → Neuilly-sur-Seine ... Angers → Orléans → Clichy
KNN,Saint-Ouen,61.2,0.0001,Saint-Ouen → Clichy → Levallois-Perret ... Angers → Orléans → Saint-Ouen
KNN,Aubervilliers,61.21,0.0001,Aubervilliers → Pantin → Bellevue ... Angers → Orléans → Aubervilliers
KNN,Sarcelles,61.21,0.0001,Sarcelles → Saint-Denis → Saint-Ouen ... Angers → Orléans → Sarcelles
KNN,Villejuif,61.21,0.0001,Villejuif → Ivry-sur-Seine → Vitry-sur-Seine ... Angers → Orléans → Villejuif
KNN,Maisons-Alfort,61.22,0.0001,Maisons-Alfort → Créteil → Saint-Maur-des-Fossés ... Angers → Orléans → Maisons-Alfort
KNN,Ivry-sur-Seine,61.23,0.0001,Ivry-sur-Seine → Villejuif → Vitry-sur-Seine ... Angers → Orléans → Ivry-sur-Seine
KNN,Saint-Maur-des-Fossés,61.24,0.0001,Saint-Maur-des-Fossés → Champigny-sur-Marne → Noisy-le-Grand ... Angers → Orléans → Saint-Maur-des-Fossés
KNN,Créteil,61.26,0.0001,Créteil → Maisons-Alfort → Vitry-sur-Seine ... Angers → Orléans → Créteil
KNN,Aulnay-sous-Bois,61.28,0.0001,Aulnay-sous-Bois → Le Blanc-Mesnil → Drancy ... Angers → Orléans → Aulnay-sous-Bois
KNN,Bondy,61.28,0.0001,Bondy → Aulnay-sous-Bois → Le Blanc-Mesnil ... Angers → Orléans → Bondy
KNN,Drancy,61.31,0.0001,Drancy → Le Blanc-Mesnil → Aulnay-sous-Bois ... Angers → Orléans → Drancy
KNN,Sevran,61.32,0.0001,Sevran → Aulnay-sous-Bois → Le Blanc-Mesnil ... Angers → Orléans → Sevran
