Point Départ,KNN,TWO_OPT,THREE_OPT,Amélioration (%)
Paris,30.94,30.35,30.35,1.92
Bordeaux,30.94,30.35,30.35,1.92
Marseille,30.94,30.35,30.35,1.92
Lyon,30.94,30.35,30.35,1.92
Toulouse,30.94,30.35,30.35,1.92
Nice,30.94,30.35,30.35,1.92
Nantes,30.94,30.35,30.35,1.92
Montpellier,30.94,30.35,30.35,1.92
Strasbourg,30.94,30.35,30.35,1.92
Lille,30.94,30.35,30.35,1.92
