Point Départ,KNN,TWO_OPT,THREE_OPT,Amélioration (%)
Paris,59.5,54.33,54.21,8.89
Bordeaux,59.5,54.33,54.21,8.89
Marseille,59.5,54.33,54.21,8.89
Lyon,59.5,54.33,54.21,8.89
Toulouse,59.5,54.33,54.21,8.89
Nice,59.5,54.33,54.21,8.89
Nantes,59.5,54.33,54.21,8.89
Montpellier,59.5,54.33,54.21,8.89
Strasbourg,59.5,54.33,54.21,8.89
Lille,59.5,54.33,54.21,8.89
Rennes,59.5,54.33,54.21,8.89
Toulon,59.5,54.33,54.21,8.89
Reims,59.5,54.33,54.21,8.89
Saint-Étienne,59.5,54.33,54.21,8.89
Le Havre,59.5,54.33,54.21,8.89
Dijon,59.5,54.33,54.21,8.89
Grenoble,59.5,54.33,54.21,8.89
Angers,59.5,54.33,54.21,8.89
Villeurbanne,59.5,54.33,54.21,8.89
Nîmes,59.5,54.33,54.21,8.89
Aix-en-Provence,59.5,54.33,54.21,8.89
Clermont-Ferrand,59.5,54.33,54.21,8.89
Le Mans,59.5,54.33,54.21,8.89
Brest,59.5,54.33,54.21,8.89
Tours,59.5,54.33,54.21,8.89
Amiens,59.5,54.33,54.21,8.89
Annecy,59.5,54.33,54.21,8.89
Limoges,59.5,54.33,54.21,8.89
Metz,59.5,54.33,54.21,8.89
Boulogne-Billancourt,59.5,54.33,54.21,8.89
Perpignan,59.5,54.33,54.21,8.89
Besançon,59.5,54.33,54.21,8.89
Orléans,59.5,54.33,54.21,8.89
Rouen,59.5,54.33,54.21,8.89
Saint-Denis,59.5,54.33,54.21,8.89
Montreuil,59.5,54.33,54.21,8.89
Caen,59.5,54.33,54.21,8.89
Argenteuil,59.5,54.33,54.21,8.89
Mulhouse,59.5,54.33,54.21,8.89
Nancy,59.5,54.33,54.21,8.89
Tourcoing,59.5,54.33,54.21,8.89
Roubaix,59.5,54.33,54.21,8.89
Nanterre,59.5,54.33,54.21,8.89
Vitry-sur-Seine,59.5,54.33,54.21,8.89
Créteil,59.5,54.33,54.21,8.89
Poitiers,59.5,54.33,54.21,8.89
Aubervilliers,59.5,54.33,54.21,8.89
Colombes,59.5,54.33,54.21,8.89
Dunkerque,59.5,54.33,54.21,8.89
Aulnay-sous-Bois,59.5,54.33,54.21,8.89
