Algorithme,Point de Départ,Distance,Temps (s)
KNN,Versailles,60.79,0.0001
TWO_OPT,Tours,57.27,0.2956
THREE_OPT,Courbevoic,57.24,0.4037
AG,Orléans,60.18,0.652
