Point Départ,KNN,TWO_OPT,Amélioration (%)
Courbevoic,63.71,58.13,8.76
Le Havre,63.04,59.92,4.95
Limoges,61.89,59.44,3.95
Toulon,61.89,59.44,3.95
Lille,61.64,59.39,3.65
Sevran,61.64,59.39,3.65
Tours,61.64,59.39,3.65
Valence,61.64,59.39,3.65
Clichy,61.64,59.39,3.65
La Seyne-sur-Mer,61.26,59.05,3.6
Tourcoing,61.26,59.05,3.6
Pantin,61.26,59.05,3.6
Bordeaux,61.26,59.05,3.6
Perpignan,61.26,59.05,3.6
Cagnes-sur-Mer,61.26,59.05,3.6
Reims,61.33,59.21,3.47
Beauvais,61.21,59.09,3.46
Bellevue,61.21,59.09,3.46
La Rochelle,61.21,59.09,3.46
Villeurbanne,61.21,59.09,3.46
Vénissieux,61.21,59.09,3.46
Versailles,61.21,59.09,3.46
Antony,61.28,59.18,3.43
Aulnay-sous-Bois,61.28,59.18,3.43
Chambéry,61.33,59.22,3.43
Montreuil,61.28,59.18,3.43
Neuilly-sur-Seine,61.28,59.18,3.43
Cannes,61.28,59.19,3.42
Ivry-sur-Seine,61.28,59.19,3.42
Le Mans,61.18,59.12,3.38
Annecy,61.18,59.12,3.38
Rueil-Malmaison,61.18,59.12,3.38
Caen,61.24,59.18,3.36
Bayonne,61.24,59.18,3.36
Maisons-Alfort,61.24,59.18,3.36
Antibes,61.4,59.33,3.36
Le Blanc-Mesnil,61.24,59.18,3.36
Colombes,61.23,59.19,3.34
Bobigny,61.23,59.19,3.34
Argenteuil,61.31,59.3,3.29
Drancy,61.2,59.19,3.28
Besançon,61.2,59.19,3.28
Brest,61.2,59.19,3.28
Vannes,61.2,59.19,3.28
Montpellier,61.2,59.19,3.28
Saint-Quentin,61.2,59.19,3.28
Villejuif,61.2,59.19,3.28
Vaulx-en-Velin,61.22,59.22,3.27
Saint-Ouen,61.22,59.22,3.27
Vitry-sur-Seine,61.22,59.22,3.27
Boulogne-Billancourt,61.22,59.22,3.27
Champigny-sur-Marne,61.22,59.22,3.27
Évry,61.21,59.22,3.25
Corbeil-Essonnes,61.21,59.22,3.25
Orléans,61.21,59.22,3.25
Mérignac,61.21,59.22,3.25
Nancy,61.17,59.24,3.16
Grenoble,61.17,59.24,3.16
Troyes,61.17,59.24,3.16
Pau,61.19,59.26,3.16
Aix-en-Provence,61.19,59.26,3.16
Cergy,61.17,59.24,3.16
Clamart,61.17,59.24,3.16
Chelles,61.19,59.26,3.16
Nice,61.19,59.26,3.16
Calais,61.21,59.3,3.12
Pessac,61.21,59.3,3.12
Poitiers,61.21,59.3,3.12
Levallois-Perret,61.21,59.3,3.12
Toulouse,61.12,59.24,3.09
Nîmes,61.12,59.24,3.09
Paris,61.12,59.24,3.09
Nanterre,61.12,59.24,3.09
Rouen,61.12,59.24,3.09
Angers,61.12,59.24,3.09
Bondy,61.12,59.24,3.09
Strasbourg,61.12,59.24,3.09
Nantes,61.12,59.24,3.09
Saint-Maur-des-Fossés,61.12,59.24,3.09
Saint-Nazaire,61.12,59.24,3.09
Marseille,61.16,59.4,2.88
Aubervilliers,61.16,59.4,2.88
Roubaix,61.16,59.4,2.88
Sarcelles,61.16,59.4,2.88
Noisy-le-Grand,61.16,59.4,2.88
Lyon,61.16,59.4,2.88
Lorient,61.16,59.4,2.88
Dunkerque,60.79,59.22,2.58
Amiens,60.79,59.22,2.58
Dijon,60.79,59.22,2.58
Créteil,60.79,59.22,2.58
Clermont-Ferrand,60.79,59.22,2.58
Mulhouse,60.79,59.22,2.58
Metz,60.79,59.22,2.58
Issy-les-Moulineaux,60.79,59.22,2.58
Meaux,60.79,59.22,2.58
Saint-Étienne,60.79,59.22,2.58
Saint-Denis,60.79,59.22,2.58
Rennes,60.79,59.22,2.58
Épinay-sur-Seine,60.79,59.22,2.58
