Algorithme,Point de Départ,Distance,Temps (s)
KNN,Lyon,30.94,0.0002
TWO_OPT,Lyon,30.35,0.0011
THREE_OPT,Lyon,30.35,0.0001
AG,Montpellier,30.35,0.0153
