Point Départ,KNN,TWO_OPT,Amélioration (%)
Aix-en-Provence,59.5,54.33,8.7
Amiens,59.5,54.33,8.7
Angers,59.5,54.33,8.7
Annecy,59.5,54.33,8.7
Argenteuil,59.5,54.33,8.7
Aubervilliers,59.5,54.33,8.7
Aulnay-sous-Bois,59.5,54.33,8.7
Besançon,59.5,54.33,8.7
Bordeaux,59.5,54.33,8.7
Boulogne-Billancourt,59.5,54.33,8.7
Brest,59.5,54.33,8.7
Caen,59.5,54.33,8.7
Clermont-Ferrand,59.5,54.33,8.7
Colombes,59.5,54.33,8.7
Créteil,59.5,54.33,8.7
Dijon,59.5,54.33,8.7
Dunkerque,59.5,54.33,8.7
Grenoble,59.5,54.33,8.7
Le Havre,59.5,54.33,8.7
Le Mans,59.5,54.33,8.7
Lille,59.5,54.33,8.7
Limoges,59.5,54.33,8.7
Lyon,59.5,54.33,8.7
Marseille,59.5,54.33,8.7
Metz,59.5,54.33,8.7
Montpellier,59.5,54.33,8.7
Montreuil,59.5,54.33,8.7
Mulhouse,59.5,54.33,8.7
Nancy,59.5,54.33,8.7
Nanterre,59.5,54.33,8.7
Nantes,59.5,54.33,8.7
Nice,59.5,54.33,8.7
Nîmes,59.5,54.33,8.7
Orléans,59.5,54.33,8.7
Paris,59.5,54.33,8.7
Perpignan,59.5,54.33,8.7
Poitiers,59.5,54.33,8.7
Reims,59.5,54.33,8.7
Rennes,59.5,54.33,8.7
Roubaix,59.5,54.33,8.7
Rouen,59.5,54.33,8.7
Saint-Denis,59.5,54.33,8.7
Saint-Étienne,59.5,54.33,8.7
Strasbourg,59.5,54.33,8.7
Toulon,59.5,54.33,8.7
Toulouse,59.5,54.33,8.7
Tourcoing,59.5,54.33,8.7
Tours,59.5,54.33,8.7
Villeurbanne,59.5,54.33,8.7
Vitry-sur-Seine,59.5,54.33,8.7
