Point Départ,KNN,TWO_OPT,Amélioration (%)
Hœnheim,123.06,93.44,24.07
Illzach,121.86,92.93,23.74
Kingersheim,121.84,92.93,23.73
Le Pont-de-Claix,121.29,93.05,23.28
Toulon,121.5,93.23,23.27
La Valette-du-Var,121.5,93.23,23.27
Bischheim,123.09,94.77,23.01
Schiltigheim,123.08,94.77,23.0
Ostwald,123.03,94.76,22.97
L’Arbresle,119.56,92.1,22.96
Pont-de-Chéruy,120.52,92.86,22.95
Strasbourg,123.01,94.77,22.95
Grenoble,121.32,93.7,22.76
Sainte-Geneviève-des-Bois,118.91,91.89,22.72
La Garde,121.5,93.98,22.65
Rouelles,120.41,93.35,22.47
Oberhausbergen,123.04,95.44,22.43
Souffelweyersheim,123.05,95.44,22.43
Riedisheim,121.85,94.55,22.4
Lingolsheim,123.0,95.48,22.37
Barby,120.77,93.82,22.31
Pierre-Bénite,119.64,92.96,22.3
Saint-Égrève,121.19,94.17,22.3
Fontaines-sur-Saône,119.97,93.23,22.29
Sainte-Adresse,120.4,93.58,22.27
Mulhouse,121.82,94.74,22.24
Saint-Genis-Laval,119.69,93.07,22.24
Chambéry,120.73,93.91,22.21
Craponne,119.56,93.27,21.99
Écully,120.15,93.81,21.92
Jacob-Bellecombette,120.72,94.28,21.9
Villeparisis,118.07,92.21,21.9
Sainte-Foy-lès-Lyon,120.13,93.82,21.9
Aix-les-Bains,120.78,94.34,21.89
Évian-les-Bains,121.07,94.58,21.88
Annecy,120.58,94.36,21.74
Alès,118.78,93.05,21.66
Nîmes,119.23,93.43,21.64
Eybens,121.34,95.22,21.53
Saint-Genis-Pouilly,120.19,94.37,21.48
Caluire-et-Cuire,119.73,94.03,21.46
Bassens,120.78,94.92,21.41
Meyzieu,119.91,94.27,21.38
Francheville,119.57,94.03,21.35
Lyon,120.28,94.63,21.32
Champagne-au-Mont-d’Or,119.8,94.26,21.32
Oullins,120.16,94.64,21.24
Villemoisson-sur-Orge,118.92,93.68,21.22
Sète,120.12,94.63,21.22
Chennevières-sur-Marne,116.84,92.07,21.2
Pfastatt,121.77,95.97,21.18
Cognin,120.71,95.15,21.17
Bron,120.09,94.68,21.16
Le Cannet,119.12,93.97,21.11
Cluses,120.64,95.27,21.03
La Seyne-sur-Mer,121.51,96.09,20.92
Tassin-la-Demi-Lune,119.67,94.64,20.92
Saint-Martin-d’Hères,121.34,96.02,20.87
Huningue,121.74,96.35,20.86
Leuville-sur-Orge,118.97,94.19,20.83
La Mulatière,120.15,95.12,20.83
Beausoleil,119.87,94.9,20.83
Menton,118.94,94.19,20.81
Jacou,117.17,92.84,20.76
Le Crès,117.16,92.84,20.76
Valras-Plage,120.29,95.35,20.73
Beaulieu-sur-Mer,119.7,94.9,20.71
Saint-Julien-en-Genevois,120.25,95.36,20.7
Fleury-les-Aubrais,118.37,93.99,20.6
Thonon-les-Bains,120.46,95.66,20.59
Saint-Jean-de-la-Ruelle,118.36,94.0,20.58
L’Isle-d’Abeau,118.25,94.0,20.51
Saint-Laurent-du-Var,119.44,94.94,20.51
Marseille,120.01,95.46,20.46
Le Pontet,119.46,95.07,20.42
Antibes,119.29,94.94,20.41
Vaulx-en-Velin,120.09,95.58,20.41
Sathonay-Camp,120.03,95.57,20.37
Bruay-sur-l’Escaut,118.89,94.7,20.35
Marly,118.9,94.7,20.35
Beuvrages,118.88,94.7,20.34
Vallauris,119.18,94.94,20.34
Orléans,118.38,94.31,20.33
Corbeil-Essonnes,114.6,91.32,20.31
Cannes,119.11,94.94,20.29
Villeurbanne,120.31,95.95,20.25
Cap-d’Ail,118.98,94.9,20.24
Villefontaine,118.17,94.28,20.22
La Tour-du-Pin,118.29,94.38,20.21
Nice,118.99,94.94,20.21
Cagnes-sur-Mer,118.99,94.94,20.21
Lisieux,119.99,95.83,20.14
Aniche,118.8,94.93,20.09
Cran-Gévrier,120.58,96.36,20.09
Meythet,120.55,96.36,20.07
Ville-la-Grand,120.51,96.36,20.04
Ambilly,120.51,96.36,20.04
Annemasse,120.51,96.36,20.04
Le Havre,120.38,96.31,20.0
Gaillard,120.5,96.44,19.97
Courcouronnes,114.56,91.75,19.91
Saint-André-de-la-Roche,119.01,95.4,19.84
Échirolles,121.32,97.28,19.82
Meylan,121.31,97.27,19.82
Fontaine,121.23,97.24,19.79
Valenciennes,118.89,95.39,19.77
Décines-Charpieu,120.14,96.39,19.77
La Penne-sur-Huveaune,120.15,96.45,19.73
Harfleur,120.34,96.62,19.71
Rillieux-la-Pape,120.18,96.52,19.69
Égly,116.66,93.71,19.68
Pérols,117.3,94.22,19.67
Coulaines,116.46,93.6,19.63
Persan,117.18,94.2,19.61
Ferney-Voltaire,120.26,96.68,19.61
Sucy-en-Brie,116.82,93.96,19.57
Montfermeil,114.12,91.81,19.55
Saint-Mandé,114.34,91.98,19.55
Saint-Germain-lès-Arpajon,116.71,93.95,19.5
Châtillon,114.1,91.86,19.49
Antony,113.97,91.77,19.48
Montreuil,114.25,92.03,19.45
Carnoux-en-Provence,120.15,96.81,19.43
Saintry-sur-Seine,114.56,92.31,19.43
Aix-en-Provence,119.67,96.49,19.37
Saint-Michel-sur-Orge,113.88,91.84,19.35
Longjumeau,113.95,91.91,19.34
Rosendaël,117.75,94.99,19.33
Coudekerque-Branche,117.73,94.99,19.31
Perpignan,116.48,93.98,19.31
Dunkerque,117.72,94.99,19.3
Villejuif,114.11,92.1,19.29
Montlhéry,113.81,91.87,19.28
Épinay-sur-Orge,113.94,92.0,19.25
Morsang-sur-Orge,113.93,92.04,19.22
Cappelle-la-Grande,117.58,94.99,19.21
Fort-Mardyck,117.57,95.01,19.19
Montpellier,117.12,94.65,19.18
Palavas-les-Flots,117.22,94.74,19.17
Tarbes,114.99,92.97,19.15
Caen,117.23,94.79,19.14
Castelnau-le-Lez,117.17,94.74,19.14
Lourches,118.88,96.22,19.06
Beaumont-sur-Oise,117.21,94.9,19.03
Bures-sur-Yvette,113.93,92.26,19.02
Brétigny-sur-Orge,113.83,92.24,18.97
Saint-Pol-sur-Mer,117.59,95.45,18.83
Bergues,117.56,95.43,18.82
Saint-Germain-lès-Corbeil,114.6,93.05,18.81
Arpajon,116.77,94.86,18.76
Outreau,116.16,94.38,18.75
Petite-Synthe,117.72,95.66,18.74
Hérouville-Saint-Clair,117.21,95.38,18.63
Anzin,118.89,96.78,18.6
Villiers-sur-Orge,118.99,96.9,18.57
Blagnac,113.21,92.28,18.49
Maubeuge,116.16,94.7,18.48
Agen,115.95,94.54,18.47
Vernouillet,113.71,92.73,18.45
Achères,113.6,92.69,18.4
Chanteloup-les-Vignes,113.62,92.73,18.39
Denain,116.83,95.37,18.37
Castanet-Tolosan,113.37,92.55,18.36
Alfortville,114.26,93.31,18.33
Taverny,113.11,92.43,18.29
Bagnolet,113.87,93.09,18.25
Marly-le-Roi,113.14,92.51,18.24
La Frette-sur-Seine,113.08,92.45,18.24
Cormeilles-en-Parisis,113.09,92.47,18.24
Villiers-sur-Marne,113.49,92.8,18.23
Saint-André,116.02,94.96,18.15
Houilles,113.02,92.52,18.14
Gennevilliers,112.97,92.5,18.12
Noyelles-sous-Lens,112.08,91.77,18.12
Conflans-Sainte-Honorine,113.16,92.65,18.12
Lys-lès-Lannoy,112.02,91.74,18.11
Lambersart,115.98,94.98,18.1
Maisons-Laffitte,113.09,92.63,18.09
Calais,113.46,92.94,18.08
Poissy,113.16,92.76,18.03
Menucourt,113.73,93.25,18.01
L’Union,113.49,93.05,18.01
Verrières-le-Buisson,114.79,94.13,18.0
Épinay-sur-Seine,113.01,92.7,17.98
