Point Départ,KNN,TWO_OPT,Amélioration (%)
Boulogne-Billancourt,63.99,58.12,9.18
Strasbourg,63.99,58.12,9.18
Vitry-sur-Seine,63.99,58.12,9.18
Bellevue,63.71,58.13,8.76
Chambéry,64.08,60.1,6.21
Clermont-Ferrand,63.82,59.86,6.21
Bondy,61.89,59.44,3.95
Levallois-Perret,61.89,59.44,3.95
Vénissieux,61.64,59.39,3.65
Saint-Ouen,61.26,59.05,3.6
Vannes,61.26,59.05,3.6
Saint-Quentin,61.26,59.05,3.6
Grenoble,61.21,59.09,3.46
Caen,61.21,59.09,3.46
Pessac,61.21,59.09,3.46
Toulon,61.21,59.09,3.46
Roubaix,61.21,59.09,3.46
Montpellier,61.21,59.09,3.46
Reims,61.21,59.09,3.46
Bobigny,61.33,59.22,3.43
Toulouse,61.33,59.22,3.43
Tours,61.28,59.18,3.43
Dijon,61.28,59.18,3.43
Poitiers,61.28,59.19,3.42
Dunkerque,61.28,59.19,3.42
Sarcelles,61.28,59.19,3.42
Maisons-Alfort,61.18,59.12,3.38
Mulhouse,61.18,59.12,3.38
Lyon,61.18,59.12,3.38
Beauvais,61.4,59.33,3.36
Sevran,61.24,59.18,3.36
Lille,61.4,59.33,3.36
Brest,61.24,59.18,3.36
Chelles,61.24,59.18,3.36
Angers,61.23,59.19,3.34
Valence,61.23,59.19,3.34
Pantin,61.23,59.19,3.34
Issy-les-Moulineaux,61.23,59.19,3.34
Le Mans,61.32,59.28,3.32
Mérignac,61.32,59.28,3.32
Versailles,61.32,59.28,3.32
La Seyne-sur-Mer,61.32,59.28,3.32
Argenteuil,61.32,59.28,3.32
Cannes,61.31,59.3,3.29
Aix-en-Provence,61.2,59.19,3.28
Cagnes-sur-Mer,61.2,59.19,3.28
Bordeaux,61.2,59.19,3.28
Drancy,61.2,59.19,3.28
Saint-Maur-des-Fossés,61.2,59.19,3.28
Aubervilliers,61.22,59.22,3.27
Nanterre,61.22,59.22,3.27
Nîmes,61.22,59.22,3.27
Rennes,61.21,59.22,3.25
Le Blanc-Mesnil,61.21,59.22,3.25
Tourcoing,61.21,59.22,3.25
Corbeil-Essonnes,61.21,59.22,3.25
Courbevoic,61.21,59.22,3.25
Perpignan,61.19,59.26,3.16
Saint-Denis,61.19,59.26,3.16
La Rochelle,61.19,59.26,3.16
Paris,61.19,59.26,3.16
Nancy,61.17,59.24,3.16
Vaulx-en-Velin,61.19,59.26,3.16
Colombes,61.17,59.24,3.16
Amiens,61.19,59.26,3.16
Champigny-sur-Marne,61.19,59.26,3.16
Saint-Nazaire,61.19,59.26,3.16
Aulnay-sous-Bois,61.21,59.3,3.12
Rouen,61.21,59.3,3.12
Clichy,61.21,59.3,3.12
Neuilly-sur-Seine,61.12,59.24,3.09
Pau,61.12,59.24,3.09
Nice,61.12,59.24,3.09
Orléans,61.12,59.24,3.09
Meaux,61.12,59.24,3.09
Limoges,61.12,59.24,3.09
Créteil,61.12,59.24,3.09
Troyes,61.12,59.24,3.09
Villeurbanne,61.12,59.24,3.09
Montreuil,61.12,59.24,3.09
Noisy-le-Grand,61.16,59.4,2.88
Lorient,61.16,59.4,2.88
Calais,61.16,59.4,2.88
Bayonne,61.16,59.4,2.88
Épinay-sur-Seine,61.16,59.4,2.88
Clamart,60.79,59.22,2.58
Cergy,60.79,59.22,2.58
Besançon,60.79,59.22,2.58
Antibes,60.79,59.22,2.58
Annecy,60.79,59.22,2.58
Antony,60.79,59.22,2.58
Ivry-sur-Seine,60.79,59.22,2.58
Metz,60.79,59.22,2.58
Nantes,60.79,59.22,2.58
Le Havre,60.79,59.22,2.58
Marseille,60.79,59.22,2.58
Saint-Étienne,60.79,59.22,2.58
Rueil-Malmaison,60.79,59.22,2.58
Villejuif,60.79,59.22,2.58
Évry,60.79,59.22,2.58
