Algo,Départ,Distance,Temps (s),Aperçu
AG,AG,60.79,1.4659,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Marseille,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Nantes,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Saint-Étienne,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Le Havre,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Annecy,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Metz,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Besançon,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Rueil-Malmaison,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Antibes,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Cergy,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Ivry-sur-Seine,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Antony,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Villejuif,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Clamart,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Évry,60.79,0.0014,Versailles → Rueil-Malmaison → Nanterre ... Angers → Orléans → Versailles
KNN,Nice,61.12,0.0014,Montreuil → Bobigny → Drancy ... Angers → Orléans → Montreuil
KNN,Villeurbanne,61.12,0.0014,Montreuil → Bobigny → Drancy ... Angers → Orléans → Montreuil
KNN,Limoges,61.12,0.0014,Montreuil → Bobigny → Drancy ... Angers → Orléans → Montreuil
KNN,Orléans,61.12,0.0014,Montreuil → Bobigny → Drancy ... Angers → Orléans → Montreuil
