Algo,Départ,Distance,Temps (s),Aperçu
AG,AG,103.76,2.1087,Valence → Rive-de-Gier → Grigny_2 ... Beausoleil → Menton → Valence
KNN,Valence,103.76,0.0014,Valence → Rive-de-Gier → Grigny_2 ... Beausoleil → Menton → Valence
KNN,Roanne,104.2,0.0014,Roanne → L’Arbresle → Craponne ... Beausoleil → Menton → Roanne
KNN,Bourg-en-Bresse,104.42,0.0014,Bourg-en-Bresse → Pont-de-Chéruy → Villefontaine ... Beausoleil → Menton → Bourg-en-Bresse
KNN,Saint-Priest,104.51,0.0014,Saint-Priest → Bron → Vaulx-en-Velin ... Beausoleil → Menton → Saint-Priest
KNN,Grigny_2,104.57,0.0014,Grigny_2 → Saint-Genis-Laval → Oullins ... Beausoleil → Menton → Grigny_2
KNN,Rive-de-Gier,104.6,0.0014,Rive-de-Gier → Grigny_2 → Saint-Genis-Laval ... Beausoleil → Menton → Rive-de-Gier
KNN,Villefranche-sur-Saône,104.74,0.0014,Villefranche-sur-Saône → L’Arbresle → Craponne ... Beausoleil → Menton → Villefranche-sur-Saône
KNN,Chalon-sur-Saône,104.92,0.0014,Chalon-sur-Saône → Chenôve → Dijon ... Beausoleil → Menton → Chalon-sur-Saône
KNN,Firminy,104.98,0.0014,Firminy → Saint-Étienne → Saint-Priest-en-Jarez ... Beausoleil → Menton → Firminy
KNN,Lons-le-Saunier,104.98,0.0014,Lons-le-Saunier → Bourg-en-Bresse → Pont-de-Chéruy ... Beausoleil → Menton → Lons-le-Saunier
KNN,Terrenoire,105.02,0.0014,Terrenoire → Saint-Étienne → Saint-Priest-en-Jarez ... Beausoleil → Menton → Terrenoire
KNN,Saint-Étienne,105.11,0.0014,Saint-Étienne → Saint-Priest-en-Jarez → Terrenoire ... Beausoleil → Menton → Saint-Étienne
KNN,Vénissieux,105.11,0.0014,Vénissieux → Saint-Fons → Pierre-Bénite ... Beausoleil → Menton → Vénissieux
KNN,Saint-Priest-en-Jarez,105.12,0.0014,Saint-Priest-en-Jarez → Saint-Étienne → Terrenoire ... Beausoleil → Menton → Saint-Priest-en-Jarez
KNN,Fontaine-lès-Dijon,105.14,0.0014,Fontaine-lès-Dijon → Talant → Dijon ... Beausoleil → Menton → Fontaine-lès-Dijon
KNN,Dijon,105.15,0.0014,Dijon → Talant → Fontaine-lès-Dijon ... Beausoleil → Menton → Dijon
KNN,Talant,105.15,0.0014,Talant → Fontaine-lès-Dijon → Dijon ... Beausoleil → Menton → Talant
KNN,Saint-Fons,105.16,0.0014,Saint-Fons → Pierre-Bénite → Oullins ... Beausoleil → Menton → Saint-Fons
KNN,Chenôve,105.16,0.0014,Chenôve → Dijon → Talant ... Beausoleil → Menton → Chenôve
KNN,Besançon,105.57,0.0014,Besançon → Vesoul → Montbéliard ... Beausoleil → Menton → Besançon
KNN,Vichy,105.63,0.0014,Vichy → Moulins → Nevers ... Beausoleil → Menton → Vichy
KNN,Vesoul,105.76,0.0018,Vesoul → Besançon → Lons-le-Saunier ... Beausoleil → Menton → Vesoul
KNN,Audincourt,106.69,0.0014,Audincourt → Sochaux → Montbéliard ... Beausoleil → Menton → Audincourt
KNN,Montbéliard,106.74,0.0014,Montbéliard → Sochaux → Audincourt ... Beausoleil → Menton → Montbéliard
KNN,Meaux,106.76,0.0014,Meaux → Crégy-lès-Meaux → Esbly ... Beausoleil → Menton → Meaux
KNN,Sochaux,106.76,0.0014,Sochaux → Montbéliard → Audincourt ... Beausoleil → Menton → Sochaux
KNN,Crégy-lès-Meaux,106.77,0.0014,Crégy-lès-Meaux → Meaux → Esbly ... Beausoleil → Menton → Crégy-lès-Meaux
KNN,Belfort,106.91,0.0014,Belfort → Sochaux → Montbéliard ... Beausoleil → Menton → Belfort
