Point Départ,KNN,TWO_OPT,Amélioration (%)
Lyon,63.78,59.85,6.18
Antibes,62.43,59.15,5.25
Meaux,62.43,59.15,5.25
Roubaix,63.04,59.92,4.95
Champigny-sur-Marne,61.89,59.44,3.95
Bordeaux,61.26,59.05,3.6
Limoges,61.26,59.05,3.6
Aubervilliers,61.26,59.05,3.6
Chelles,61.33,59.21,3.47
Tours,61.21,59.09,3.46
Metz,61.21,59.09,3.46
Montpellier,61.28,59.18,3.43
Rouen,61.33,59.22,3.43
Dunkerque,61.28,59.18,3.43
Créteil,61.28,59.19,3.42
Cagnes-sur-Mer,61.28,59.19,3.42
Vannes,61.18,59.12,3.38
Drancy,61.18,59.12,3.38
Antony,61.18,59.12,3.38
Dijon,61.18,59.12,3.38
Levallois-Perret,61.18,59.12,3.38
Paris,61.24,59.18,3.36
Courbevoic,61.23,59.19,3.34
Clichy,61.23,59.19,3.34
Lorient,61.23,59.19,3.34
Villeurbanne,61.23,59.19,3.34
Montreuil,61.23,59.19,3.34
Saint-Quentin,61.23,59.19,3.34
Épinay-sur-Seine,61.23,59.19,3.34
Reims,61.32,59.28,3.32
Valence,61.31,59.3,3.29
Vaulx-en-Velin,61.31,59.3,3.29
Marseille,61.2,59.19,3.28
Corbeil-Essonnes,61.2,59.19,3.28
Caen,61.2,59.19,3.28
Bayonne,61.2,59.19,3.28
Vitry-sur-Seine,61.2,59.19,3.28
Noisy-le-Grand,61.2,59.19,3.28
Tourcoing,61.2,59.19,3.28
Troyes,61.2,59.19,3.28
Évry,61.22,59.22,3.27
Pantin,61.21,59.22,3.25
Grenoble,61.21,59.22,3.25
Versailles,61.21,59.22,3.25
Ivry-sur-Seine,61.21,59.22,3.25
Sarcelles,61.21,59.22,3.25
Maisons-Alfort,61.21,59.22,3.25
Mulhouse,61.21,59.22,3.25
Cannes,61.21,59.22,3.25
Saint-Ouen,61.17,59.24,3.16
Sevran,61.17,59.24,3.16
Bobigny,61.19,59.26,3.16
Rennes,61.17,59.24,3.16
Nice,61.17,59.24,3.16
Toulouse,61.17,59.24,3.16
Brest,61.17,59.24,3.16
Clermont-Ferrand,61.17,59.24,3.16
Amiens,61.19,59.26,3.16
La Seyne-sur-Mer,61.19,59.26,3.16
Nanterre,61.19,59.26,3.16
Poitiers,61.17,59.24,3.16
Cergy,61.17,59.24,3.16
Nancy,61.17,59.24,3.16
Perpignan,61.17,59.24,3.16
Boulogne-Billancourt,61.19,59.26,3.16
Annecy,61.19,59.26,3.16
Angers,61.21,59.3,3.12
Le Havre,61.21,59.3,3.12
Chambéry,61.12,59.24,3.09
Bondy,61.12,59.24,3.09
Neuilly-sur-Seine,61.12,59.24,3.09
Bellevue,61.12,59.24,3.09
Le Blanc-Mesnil,61.12,59.24,3.09
Argenteuil,61.12,59.24,3.09
Le Mans,61.12,59.24,3.09
Lille,61.12,59.24,3.09
Toulon,61.12,59.24,3.09
Nantes,61.12,59.24,3.09
Strasbourg,61.12,59.24,3.09
Pau,61.12,59.24,3.09
La Rochelle,61.12,59.24,3.09
Saint-Maur-des-Fossés,61.12,59.24,3.09
Aulnay-sous-Bois,61.12,59.24,3.09
Nîmes,61.16,59.4,2.88
Beauvais,61.16,59.4,2.88
Villejuif,61.16,59.4,2.88
Calais,61.16,59.4,2.88
Saint-Denis,61.16,59.4,2.88
Saint-Étienne,61.16,59.4,2.88
Rueil-Malmaison,61.16,59.4,2.88
Mérignac,61.16,59.4,2.88
Aix-en-Provence,60.79,59.22,2.58
Orléans,60.79,59.22,2.58
Besançon,60.79,59.22,2.58
Saint-Nazaire,60.79,59.22,2.58
Colombes,60.79,59.22,2.58
Pessac,60.79,59.22,2.58
Issy-les-Moulineaux,60.79,59.22,2.58
Vénissieux,60.79,59.22,2.58
Clamart,60.79,59.22,2.58
