Algo,Départ,Distance,Temps (s),Aperçu
AG,AG,59.49,0.2202,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Paris,59.5,0.0034,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Bordeaux,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Marseille,59.5,0.0034,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Lyon,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Toulouse,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Nice,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Nantes,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Montpellier,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Strasbourg,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Lille,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Rennes,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Toulon,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Reims,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Saint-Étienne,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Le Havre,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Dijon,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Grenoble,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Angers,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Villeurbanne,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Nîmes,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Aix-en-Provence,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Clermont-Ferrand,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Le Mans,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Brest,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Tours,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Amiens,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Annecy,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Limoges,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Metz,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Boulogne-Billancourt,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Perpignan,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Besançon,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Orléans,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Rouen,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Saint-Denis,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Montreuil,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Caen,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Argenteuil,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Mulhouse,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Nancy,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Tourcoing,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Roubaix,59.5,0.0034,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Nanterre,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Vitry-sur-Seine,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Créteil,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Poitiers,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Aubervilliers,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Colombes,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Dunkerque,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
KNN,Aulnay-sous-Bois,59.5,0.0033,Créteil → Vitry-sur-Seine → Paris ... Toulon → Nice → Créteil
THREE_OPT,Créteil,54.21,0.0328,Créteil → Vitry-sur-Seine → Paris ... Besançon → Dijon → Créteil
TWO_OPT,Paris,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Bordeaux,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Marseille,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Lyon,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Toulouse,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Nice,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Nantes,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Montpellier,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Strasbourg,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Lille,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Rennes,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Toulon,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Reims,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Saint-Étienne,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Le Havre,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Dijon,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Grenoble,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Angers,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Villeurbanne,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Nîmes,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Aix-en-Provence,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Clermont-Ferrand,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Le Mans,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Brest,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Tours,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Amiens,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Annecy,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Limoges,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Metz,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Boulogne-Billancourt,54.33,0.0306,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Perpignan,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Besançon,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Orléans,54.33,0.0306,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Rouen,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Saint-Denis,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Montreuil,54.33,0.0307,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Caen,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Argenteuil,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Mulhouse,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Nancy,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Tourcoing,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Roubaix,54.33,0.0306,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Nanterre,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Vitry-sur-Seine,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Créteil,54.33,0.0309,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
TWO_OPT,Poitiers,54.33,0.0308,Créteil → Montreuil → Aulnay-sous-Bois ... Besançon → Dijon → Créteil
