Algorithme,Point de Départ,Distance,Temps (s)
KNN,Créteil,59.5,0.0034
TWO_OPT,Créteil,54.33,0.0308
THREE_OPT,Créteil,54.21,0.0328
AG,Créteil,59.49,0.2202
