Point Départ,KNN,TWO_OPT,Amélioration (%)
Saint-Jean,118.13,91.65,22.42
Laval,118.51,92.7,21.78
Le Mesnil-le-Roi,118.07,92.54,21.63
Aix-les-Bains,118.12,92.9,21.35
Le Petit-Quevilly,118.38,93.12,21.34
Bondoufle,118.51,93.24,21.32
Coudekerque-Branche,118.79,93.59,21.22
Outreau,118.44,93.35,21.19
Sainte-Foy-lès-Lyon,118.44,93.35,21.19
Saint-Alban,119.57,94.28,21.15
L’Haÿ-les-Roses,118.47,93.41,21.15
Massy,117.79,93.0,21.05
Rillieux-la-Pape,117.79,93.0,21.05
Hagondange,119.11,94.17,20.93
Évian-les-Bains,117.59,93.01,20.9
Brest,117.79,93.18,20.9
Le Plessis-Bouchard,117.79,93.18,20.9
Enghien-les-Bains,119.69,94.69,20.89
Châteauroux,119.26,94.43,20.82
Verneuil-sur-Seine,117.72,93.26,20.78
Fouquières-lès-Lens,117.72,93.26,20.78
Sainte-Foy-la-Grande,117.72,93.26,20.78
Nevers,117.72,93.26,20.78
Chanteloup-les-Vignes,117.72,93.26,20.78
Courcouronnes,117.72,93.26,20.78
Saint-Mandé,118.46,94.08,20.58
Neuville-lès-Dieppe,117.8,93.56,20.57
Fontaine-lès-Dijon,117.8,93.62,20.53
La Ville-du-Bois,117.8,93.62,20.53
Bayeux,117.89,93.71,20.52
Stains,117.89,93.71,20.52
Sète,117.89,93.71,20.52
Persan,117.85,93.71,20.49
Gaillard,117.85,93.71,20.49
Viroflay,117.77,93.66,20.47
Quincy-sous-Sénart,117.74,93.66,20.45
Villepinte,117.74,93.66,20.45
Carbon-Blanc,117.74,93.66,20.45
Le Mans,116.97,93.06,20.44
Mérignac,117.7,93.64,20.44
Aulnay-sous-Bois,116.97,93.06,20.44
Dijon,116.97,93.06,20.44
Saint-Jean-de-Braye,117.7,93.64,20.44
Puteaux,116.97,93.06,20.44
Eysines,116.97,93.06,20.44
Lons-le-Saunier,117.7,93.64,20.44
Boucau,116.97,93.06,20.44
Vichy,116.97,93.06,20.44
Aucamville,117.36,93.4,20.41
Sathonay-Camp,117.36,93.4,20.41
Courtry,117.66,93.66,20.4
Guingamp,117.66,93.66,20.4
Marcq-en-Baroeul,117.66,93.66,20.4
Firminy,117.66,93.66,20.4
Fleury-Mérogis,117.66,93.66,20.4
Haubourdin,117.66,93.66,20.4
Thiais,117.8,93.93,20.26
Ascq,118.47,94.47,20.26
Harfleur,117.8,93.93,20.26
Montigny-le-Bretonneux,117.8,93.97,20.23
Pierre-Bénite,118.1,94.3,20.16
Noisy-le-Sec,117.75,94.03,20.15
Les Lilas,117.75,94.03,20.15
Belfort,117.75,94.03,20.15
Palavas-les-Flots,118.28,94.46,20.14
Villefranche-sur-Saône,118.28,94.46,20.14
Ivry-sur-Seine,118.47,94.61,20.14
Lyon,118.47,94.61,20.14
Saint-Michel-sur-Orge,117.61,93.94,20.12
Pérols,117.61,93.94,20.12
Audincourt,117.61,93.94,20.12
Grigny,117.77,94.11,20.09
Marly-le-Roi,118.39,94.62,20.08
Clermont,118.49,94.72,20.06
Talence,117.93,94.28,20.06
Courchelettes,117.64,94.11,20.0
Vénissieux,117.64,94.11,20.0
Champagne-au-Mont-d’Or,117.55,94.05,19.98
Andrésy,117.55,94.05,19.98
Sucy-en-Brie,117.55,94.05,19.98
Ronchin,117.55,94.05,19.98
Bihorel,117.35,93.96,19.94
La Celle-Saint-Cloud,117.35,93.96,19.94
Vaucresson,117.35,93.96,19.94
Craponne,117.34,93.96,19.93
La Montagne,118.08,94.57,19.92
Vandœuvre-lès-Nancy,116.54,93.34,19.91
Sainte-Geneviève-des-Bois,116.54,93.34,19.91
Chartres,116.54,93.34,19.91
Chilly-Mazarin,116.54,93.34,19.91
Illzach,118.32,94.78,19.89
Ferney-Voltaire,118.67,95.08,19.88
Marly,116.81,93.59,19.88
Tarbes,116.81,93.59,19.88
Limay,116.81,93.59,19.88
Dunkerque,116.81,93.59,19.88
Fougères,116.81,93.59,19.88
Antony,116.81,93.59,19.88
Villejuif,116.81,93.59,19.88
Nancy,116.81,93.59,19.88
Lucé,118.69,95.11,19.86
Besançon,118.69,95.11,19.86
Villers-lès-Nancy,118.73,95.19,19.83
Villemoisson-sur-Orge,117.97,94.59,19.82
Chalon-sur-Saône,118.25,94.89,19.75
Annemasse,117.34,94.18,19.74
Darnétal,117.34,94.18,19.74
Savigny-le-Temple,117.34,94.18,19.74
Waziers,117.76,94.53,19.73
Sochaux,118.48,95.11,19.73
Bures-sur-Yvette,118.48,95.11,19.73
Dieppe,117.66,94.46,19.72
Montargis,117.66,94.46,19.72
Sannois,117.66,94.46,19.72
Grenoble,117.66,94.46,19.72
Pantin,116.23,93.34,19.7
Vannes,116.23,93.34,19.7
Reims,116.23,93.34,19.7
Heillecourt,116.23,93.34,19.7
Savigny-sur-Orge,116.23,93.34,19.7
Tournefeuille,116.23,93.34,19.7
Oullins,116.23,93.34,19.7
Méricourt,116.23,93.34,19.7
Francheville,116.23,93.34,19.7
Vitry-le-François,118.06,94.87,19.64
Cagnes-sur-Mer,118.06,94.87,19.64
Grenay,118.23,95.02,19.63
Caluire-et-Cuire,117.89,94.82,19.57
Beauvais,117.89,94.82,19.57
Goussainville,117.89,94.82,19.57
Draveil,118.3,95.16,19.56
Creil,116.98,94.11,19.55
Rezé,116.98,94.11,19.55
Thonon-les-Bains,116.98,94.11,19.55
Bourg-la-Reine,116.94,94.1,19.54
Riedisheim,116.94,94.1,19.54
Wasquehal,116.94,94.1,19.54
Le Cannet,117.77,94.84,19.47
Cesson,117.61,94.73,19.45
La Verrière,117.61,94.73,19.45
Villeneuve-Tolosane,117.61,94.73,19.45
Saint-Herblain,117.61,94.73,19.45
Paimbœuf,117.77,94.88,19.43
Bourg-en-Bresse,117.77,94.88,19.43
La Valette-du-Var,117.4,94.59,19.43
Le Ban-Saint-Martin,117.4,94.59,19.43
Limoges,117.4,94.59,19.43
Croissy-sur-Seine,117.4,94.59,19.43
Le Raincy,117.97,95.06,19.42
Montmorency,117.97,95.06,19.42
L’Union,117.97,95.06,19.42
Le Bouscat,117.79,94.94,19.41
Saint-André-de-la-Roche,117.56,94.74,19.41
Courbevoic,117.79,94.94,19.41
Gentilly,117.56,94.74,19.41
Lourches,114.95,92.65,19.4
Floirac,114.95,92.65,19.4
Montereau-faut-Yonne,114.95,92.65,19.4
Lingolsheim,114.95,92.65,19.4
Clichy-sous-Bois,114.95,92.65,19.4
Thorigny-sur-Marne,114.95,92.65,19.4
Orléans,114.95,92.65,19.4
Pérenchies,118.2,95.27,19.4
Le Crès,114.95,92.65,19.4
Marseille,114.95,92.65,19.4
Vaujours,117.82,94.97,19.39
Oignies,117.77,94.99,19.34
Amiens,117.77,94.99,19.34
Arnouville-lès-Gonesse,117.77,94.99,19.34
Hœnheim,117.77,94.99,19.34
Châtillon,117.77,94.99,19.34
Neuville-en-Ferrain,116.83,94.28,19.3
Ézanville,116.83,94.28,19.3
Tinqueux,116.83,94.28,19.3
Bois-d’Arcy,116.83,94.28,19.3
Billère,116.83,94.28,19.3
Montbéliard,116.84,94.3,19.29
Nogent-sur-Oise,116.84,94.3,19.29
Bully-les-Mines,116.84,94.3,19.29
Sartrouville,116.84,94.3,19.29
Ormesson-sur-Marne,116.84,94.3,19.29
Bezons,116.83,94.3,19.28
Arcachon,116.83,94.3,19.28
Le Blanc-Mesnil,116.83,94.3,19.28
L’Isle-d’Abeau,116.83,94.3,19.28
Ramonville-Saint-Agne,116.83,94.3,19.28
Saint-André-les-Vergers,117.79,95.08,19.27
Saintry-sur-Seine,118.48,95.77,19.17
Saint-Priest-en-Jarez,118.49,95.8,19.15
Noyelles-sous-Lens,114.88,92.94,19.1
Villecresnes,114.88,92.94,19.1
Tomblaine,117.81,95.31,19.1
Dugny,114.88,92.94,19.1
Champigny-sur-Marne,114.88,92.94,19.1
Angers,116.5,94.28,19.07
Mulhouse,117.81,95.34,19.07
Nantes,117.81,95.34,19.07
Villeneuve-le-Roi,116.5,94.28,19.07
Montigny-lès-Cormeilles,116.5,94.28,19.07
Châlons-en-Champagne,117.83,95.36,19.07
Castanet-Tolosan,116.5,94.28,19.07
Pont-de-Chéruy,117.78,95.34,19.05
Saint-Sébastien-sur-Loire,117.78,95.34,19.05
La Garde,117.14,94.87,19.01
Romainville,117.31,95.03,18.99
Arcueil,117.31,95.03,18.99
Trappes,117.31,95.03,18.99
Mont-Saint-Aignan,117.31,95.03,18.99
Beausoleil,117.31,95.03,18.99
Avranches,117.31,95.03,18.99
Port-Louis,114.94,93.2,18.92
Fresnes,114.94,93.2,18.92
Coulaines,116.81,94.74,18.89
Bagnolet,116.81,94.74,18.89
Saint-Genis-Laval,116.81,94.74,18.89
Yerres,116.81,94.74,18.89
Saint-Julien-en-Genevois,117.49,95.33,18.86
Bonneuil-sur-Marne,117.49,95.33,18.86
Grand-Fort-Philippe,117.49,95.33,18.86
Mouvaux,117.49,95.33,18.86
Saint-Martin-d’Hères,117.49,95.33,18.86
La Penne-sur-Huveaune,114.89,93.27,18.82
Rodez,114.89,93.27,18.82
Bègles,114.89,93.27,18.82
Lorient,114.89,93.27,18.82
Saint-Ouen,114.89,93.27,18.82
Billy-Montigny,114.89,93.27,18.82
La Mulatière,114.89,93.27,18.82
Longueau,114.89,93.27,18.82
Malakoff,116.83,94.91,18.76
Longeville-lès-Metz,116.83,94.91,18.76
Pau,116.82,94.91,18.75
Villiers-sur-Orge,116.82,94.91,18.75
Le Havre,116.82,94.91,18.75
Rosny-sous-Bois,114.48,93.03,18.74
Vaires-sur-Marne,114.48,93.03,18.74
Wattignies,114.48,93.03,18.74
Cran-Gévrier,114.48,93.03,18.74
Les Sables-d’Olonne,114.48,93.03,18.74
Les Pavillons-sous-Bois,114.48,93.03,18.74
Élancourt,114.48,93.03,18.74
Sainte-Adresse,114.48,93.03,18.74
Huningue,114.48,93.03,18.74
Saint-Germain-lès-Arpajon,114.48,93.03,18.74
Jacob-Bellecombette,114.71,93.26,18.7
Neuilly-sur-Marne,114.71,93.26,18.7
Rennes,114.71,93.26,18.7
Roanne,114.71,93.26,18.7
Rouen,114.71,93.26,18.7
Sallaumines,114.71,93.26,18.7
Charenton-le-Pont,114.71,93.26,18.7
Metz,114.71,93.26,18.7
Évreux,114.71,93.26,18.7
Cannes,114.71,93.26,18.7
Magny-le-Hongre,117.67,95.74,18.64
Meyzieu,117.67,95.74,18.64
Gagny,116.54,94.85,18.61
Saint-Priest,116.54,94.85,18.61
Maisons-Laffitte,116.54,94.85,18.61
Ville-d’Avray,116.6,94.93,18.59
Saint-Étienne-du-Rouvray,116.6,94.93,18.59
Neauphle-le-Château,116.6,94.93,18.59
Athis-Mons,116.6,94.93,18.59
Villerupt,116.6,94.93,18.59
Maxéville,116.6,94.93,18.59
Achères,116.6,94.93,18.59
Versailles,112.87,91.91,18.58
Carrières-sous-Poissy,112.87,91.91,18.58
Lomme,116.49,94.85,18.58
Ermont,116.49,94.85,18.58
Brunoy,116.49,94.85,18.58
Saint-Étienne,116.59,94.93,18.58
Issy-les-Moulineaux,116.49,94.85,18.58
Bruay-sur-l’Escaut,116.59,94.93,18.58
Villeneuve-la-Garenne,116.59,94.93,18.58
Brétigny-sur-Orge,116.49,94.85,18.58
Avon,112.87,91.91,18.58
Montévrain,116.49,94.85,18.58
Arras,116.59,94.93,18.58
Neuville-Saint-Rémy,116.49,94.85,18.58
Noisy-le-Grand,116.59,94.93,18.58
Antibes,112.87,91.91,18.58
Saint-Brieuc,116.49,94.85,18.58
Choisy-le-Roi,116.59,94.93,18.58
Gradignan,116.68,95.01,18.57
Vélizy-Villacoublay,116.68,95.01,18.57
Les Clayes-sous-Bois,116.68,95.01,18.57
Lormont,116.68,95.01,18.57
Pfastatt,118.19,96.29,18.53
Chambéry,114.45,93.34,18.44
Menucourt,114.45,93.34,18.44
Sceaux,114.45,93.34,18.44
Bry-sur-Marne,114.45,93.34,18.44
Bellevue,114.45,93.34,18.44
Boulogne-sur-Mer,118.43,96.65,18.39
Auchel,116.19,94.84,18.37
La Frette-sur-Seine,116.19,94.84,18.37
Jouy-le-Moutier,116.19,94.84,18.37
Montigny-en-Gohelle,116.19,94.84,18.37
Beaumont-sur-Oise,116.19,94.84,18.37
Gennevilliers,116.19,94.84,18.37
Villeurbanne,116.2,94.87,18.35
Saint-Leu-la-Forêt,116.2,94.87,18.35
Domont,116.2,94.87,18.35
Agen,114.84,93.82,18.31
Villeneuve-Saint-Georges,114.84,93.82,18.31
Wattrelos,114.84,93.82,18.31
Montlhéry,114.84,93.82,18.31
Franconville,114.84,93.82,18.31
Poitiers,114.84,93.82,18.31
Bois-Colombes,114.89,93.99,18.19
Neuilly-sur-Seine,114.89,93.99,18.19
Palaiseau,114.89,93.99,18.19
Évry,114.89,93.99,18.19
Lisieux,114.89,93.99,18.19
Leuville-sur-Orge,112.31,91.89,18.18
Corbeil-Essonnes,112.31,91.89,18.18
Épinay-sur-Seine,112.31,91.89,18.18
Vallauris,112.31,91.89,18.18
Le Mesnil-Esnard,112.31,91.89,18.18
Rueil-Malmaison,112.31,91.89,18.18
Montigny-lès-Metz,112.31,91.89,18.18
Vincennes,112.31,91.89,18.18
La Rochelle,117.8,96.38,18.18
Bouffémont,112.31,91.89,18.18
Stiring-Wendel,117.8,96.38,18.18
Eybens,112.31,91.89,18.18
