Point Départ,KNN,TWO_OPT,Amélioration (%)
Lens,117.8,96.38,18.18
Le Pont-de-Claix,112.31,91.89,18.18
Bagneux,112.31,91.89,18.18
Lys-lès-Lannoy,117.77,96.41,18.13
Poissy,116.86,95.68,18.12
Magnanville,116.86,95.68,18.12
Boulogne-Billancourt,116.86,95.68,18.12
Éragny,116.86,95.68,18.12
Le Plessis-Trévise,116.8,95.76,18.02
Petite-Synthe,116.8,95.76,18.02
Maurepas,116.8,95.76,18.02
La Tour-du-Pin,116.8,95.76,18.02
Rive-de-Gier,112.83,92.52,18.0
Nîmes,112.83,92.52,18.0
Valenton,116.84,95.81,18.0
Armentières,116.91,95.87,18.0
Voisins-le-Bretonneux,112.83,92.52,18.0
Houilles,112.83,92.52,18.0
Chamalières,116.91,95.87,18.0
Pierrefitte-sur-Seine,116.91,95.87,18.0
Les Mureaux,112.83,92.52,18.0
Mons-en-Baroeul,116.84,95.81,18.0
Drancy,112.83,92.52,18.0
Vesoul,112.83,92.52,18.0
Deuil-la-Barre,116.91,95.87,18.0
Cenon,112.83,92.52,18.0
Le Grand-Quevilly,112.83,92.52,18.0
Égly,112.83,92.52,18.0
Neuilly-Plaisance,116.91,95.87,18.0
Bondy,116.91,95.87,18.0
Éleu-dit-Leauwette,112.83,92.52,18.0
Garches,112.83,92.52,18.0
La Madeleine,112.83,92.52,18.0
Meaux,118.07,96.83,17.99
Toulouse,118.08,96.83,17.99
Clermont-Ferrand,118.08,96.83,17.99
Fontenay-aux-Roses,118.07,96.83,17.99
Mantes-la-Jolie,113.35,93.0,17.95
Bonsecours,116.77,95.81,17.95
Anzin,116.77,95.81,17.95
Montgeron,113.35,93.0,17.95
Terville,113.35,93.0,17.95
Saint-Jean-de-la-Ruelle,113.35,93.0,17.95
Cambrai,116.77,95.81,17.95
Troyes,113.35,93.0,17.95
Noisiel,113.35,93.0,17.95
Halluin,113.35,93.0,17.95
Montesson,113.35,93.0,17.95
Castelnau-le-Lez,113.35,93.0,17.95
Fontenay-sous-Bois,116.38,95.52,17.92
Saint-Mammès,116.38,95.52,17.92
Le Portel,114.84,94.28,17.91
Serris,114.84,94.28,17.91
Hérouville-Saint-Clair,114.84,94.28,17.91
Loison-sous-Lens,114.84,94.28,17.91
Oberhausbergen,114.84,94.28,17.91
Lambersart,114.84,94.28,17.91
Hellemmes-Lille,116.18,95.39,17.89
Eaubonne,117.78,96.71,17.89
Limeil-Brévannes,116.18,95.39,17.89
Pont-à-Vendin,116.31,95.52,17.87
Nice,116.31,95.52,17.87
Nogent-sur-Marne,116.31,95.52,17.87
Saint-Max,116.31,95.52,17.87
Vigneux-sur-Seine,116.31,95.52,17.87
Vauréal,116.31,95.52,17.87
Cap-d’Ail,115.92,95.31,17.79
Guyancourt,115.92,95.31,17.79
Fosses,115.92,95.31,17.79
Saint-Germain-lès-Corbeil,115.92,95.31,17.79
Cluses,115.92,95.31,17.79
Ostwald,115.92,95.31,17.79
Saint-Maurice,118.35,97.39,17.71
Chatou,114.62,94.38,17.66
Perpignan,114.62,94.38,17.66
Liévin,114.62,94.38,17.66
Boissy-Saint-Léger,114.62,94.38,17.66
Aix-en-Provence,114.62,94.38,17.66
Caudebec-lès-Elbeuf,114.62,94.38,17.66
Sarcelles,114.62,94.38,17.66
Octeville,114.62,94.38,17.66
Argenteuil,114.62,94.38,17.66
Colomiers,114.62,94.38,17.66
Chaville,114.62,94.38,17.66
Igny,114.62,94.38,17.66
Plaisir,114.62,94.38,17.66
Joinville-le-Pont,114.62,94.38,17.66
Morangis,114.62,94.38,17.66
Ris-Orangis,114.62,94.38,17.66
Sotteville-lès-Rouen,114.62,94.38,17.66
Le Mée-sur-Seine,114.47,94.38,17.55
Villenave-d’Ornon,114.47,94.38,17.55
Souffelweyersheim,112.86,93.05,17.55
Bougival,112.86,93.05,17.55
Roubaix,114.47,94.38,17.55
Soissons,112.86,93.05,17.55
Taverny,112.86,93.05,17.55
Saint-Pol-sur-Mer,114.47,94.38,17.55
Arpajon,112.86,93.05,17.55
Bassens,112.86,93.05,17.55
Le Bourget,114.47,94.38,17.55
Nilvange,112.86,93.05,17.55
Annecy,112.86,93.05,17.55
Béthune,114.4,94.38,17.5
Montfermeil,114.4,94.38,17.5
Châtenay-Malabry,114.4,94.38,17.5
Alès,114.4,94.38,17.5
Créteil,114.4,94.38,17.5
Combs-la-Ville,114.4,94.38,17.5
Cormeilles-en-Parisis,113.28,93.75,17.24
Vanves,113.28,93.75,17.24
Beaulieu-sur-Mer,113.28,93.75,17.24
Dammarie-lè-Lys,113.28,93.75,17.24
La Courneuve,113.28,93.75,17.24
Vernouillet,116.41,96.57,17.04
Torcy,112.63,93.47,17.01
Saint-Fons,112.63,93.47,17.01
Le Relecq-Kerhuon,112.63,93.47,17.01
Biarritz,112.63,93.47,17.01
Avesnes-sur-Helpe,112.63,93.47,17.01
Talant,112.63,93.47,17.01
Liancourt,112.63,93.47,17.01
Conflans-Sainte-Honorine,112.63,93.47,17.01
Périgueux,113.47,94.29,16.9
Montreuil,113.47,94.29,16.9
Charleville-Mézières,113.47,94.29,16.9
Cappelle-la-Grande,113.47,94.29,16.9
Jarville-la-Malgrange,113.47,94.29,16.9
Le Vésinet,113.47,94.29,16.9
Lognes,112.82,93.77,16.88
Toulon,112.82,93.77,16.88
Villiers-le-Bel,112.82,93.77,16.88
Rosendaël,112.82,93.77,16.88
Ambilly,112.82,93.77,16.88
Aubervilliers,112.82,93.77,16.88
La Salvetat-Saint-Gilles,112.82,93.77,16.88
Talange,112.82,93.77,16.88
Courcelles-les-Lens,112.69,93.75,16.8
Bayonne,112.69,93.75,16.8
Paris,112.69,93.75,16.8
Toufflers,112.69,93.75,16.8
Pessac,112.69,93.75,16.8
L’Arbresle,112.69,93.75,16.8
Terrenoire,112.69,93.75,16.8
Boussy-Saint-Antoine,112.69,93.75,16.8
Crégy-lès-Meaux,112.69,93.75,16.8
Villeparisis,112.69,93.75,16.8
Valras-Plage,112.69,93.75,16.8
Chevilly-Larue,117.95,98.19,16.75
Hem,112.22,93.45,16.73
La Garenne-Colombes,112.22,93.45,16.73
Rouelles,112.22,93.45,16.73
Le Port-Marly,112.22,93.45,16.73
Bois-Guillaume,112.22,93.45,16.73
Barby,112.22,93.45,16.73
La Bassée,112.22,93.45,16.73
Beauzelle,112.22,93.45,16.73
Morsang-sur-Orge,112.22,93.45,16.73
Roissy-en-Brie,112.83,93.99,16.69
Clamart,112.83,93.99,16.69
Strasbourg,112.83,93.99,16.69
Garges-lès-Gonesse,112.83,93.99,16.69
Villefontaine,112.83,93.99,16.69
Décines-Charpieu,112.83,93.99,16.69
Neuves-Maisons,112.83,93.99,16.69
Saint-Nazaire,112.83,93.99,16.69
Saint-Quentin,112.83,93.99,16.69
Alfortville,112.83,93.99,16.69
Mandres-les-Roses,112.73,93.99,16.62
Cachan,112.73,93.99,16.62
Saint-Cyr-l’École,112.73,93.99,16.62
Saint-Denis,112.73,93.99,16.62
Orsay,112.73,93.99,16.62
Jacou,112.73,93.99,16.62
Gournay-sur-Marne,112.73,93.99,16.62
Cergy,112.73,93.99,16.62
Suresnes,112.73,93.99,16.62
Kingersheim,112.73,93.99,16.62
Cherbourg,112.73,93.99,16.62
Bordeaux,112.73,93.99,16.62
Luisant,112.87,94.17,16.57
Le Pré-Saint-Gervais,112.87,94.17,16.57
Sevran,112.87,94.17,16.57
Le Chesnay,112.87,94.17,16.57
Saint-Nicolas,112.87,94.17,16.57
Crosne,112.87,94.17,16.57
Mantes-la-Ville,112.87,94.17,16.57
Caen,112.86,94.43,16.33
Bischheim,112.86,94.43,16.33
Le Perreux-Sur-Marne,112.86,94.43,16.33
Montluçon,111.47,93.43,16.18
Échirolles,111.47,93.43,16.18
Écully,111.47,93.43,16.18
Longjumeau,111.47,93.43,16.18
Cognin,111.47,93.43,16.18
Soisy-sous-Montmorency,111.47,93.43,16.18
Le Pecq,111.47,93.43,16.18
Pontoise,111.47,93.43,16.18
Saint-Cloud,111.47,93.43,16.18
Fleury-les-Aubrais,111.47,93.43,16.18
Villemomble,111.47,93.43,16.18
Fort-Mardyck,111.47,93.43,16.18
Chenôve,111.47,93.43,16.18
Dinan,111.47,93.43,16.18
Sèvres,111.47,93.43,16.18
Flers-lez-Lille,111.47,93.43,16.18
Maubeuge,111.47,93.43,16.18
Le Plessis-Robinson,111.47,93.43,16.18
Fontaine,116.88,98.06,16.1
Calais,112.7,94.63,16.03
Nanterre,112.7,94.63,16.03
Carrières-sur-Seine,112.7,94.63,16.03
Ablon-sur-Seine,112.7,94.63,16.03
Le Kremlin-Bicêtre,112.7,94.63,16.03
Maisons-Alfort,112.7,94.63,16.03
Vaulx-en-Velin,112.7,94.63,16.03
Livry-Gargan,112.7,94.63,16.03
Champs-Sur-Marne,112.7,94.63,16.03
Alençon,112.7,94.63,16.03
Marquette-lès-Lille,112.7,94.63,16.03
Blagnac,112.7,94.63,16.03
Verrières-le-Buisson,112.7,94.63,16.03
Vitry-sur-Seine,112.45,94.49,15.97
Yvetot,112.45,94.49,15.97
Beuvrages,112.45,94.49,15.97
Moulins,112.45,94.49,15.97
Saint-Maur-des-Fossés,112.45,94.49,15.97
Levallois-Perret,112.45,94.49,15.97
Esbly,116.91,98.26,15.96
Meylan,116.91,98.26,15.96
Les Noës-près-Troyes,116.91,98.26,15.96
Bobigny,111.92,94.09,15.92
Beaumont,111.92,94.09,15.92
L’Île-Saint-Denis,111.92,94.09,15.92
Épinay-sous-Sénart,111.92,94.09,15.92
Saint-André,111.92,94.09,15.92
Saint-Gratien,111.92,94.09,15.92
Saint-Égrève,111.92,94.09,15.92
Cugnaux,111.92,94.09,15.92
Viry-Châtillon,111.92,94.09,15.92
Menton,111.92,94.09,15.92
Juvisy-sur-Orge,111.92,94.09,15.92
Schiltigheim,111.92,94.09,15.92
Angoulême,111.92,94.09,15.92
Tours,116.18,97.72,15.89
Saint-Laurent-du-Var,116.18,97.72,15.89
Meudon,116.18,97.72,15.89
Melun,116.18,97.72,15.89
Lille,116.18,97.72,15.89
Meythet,116.18,97.72,15.89
Aniche,112.85,95.02,15.81
La Seyne-sur-Mer,112.85,95.02,15.81
Saint-Brice-sous-Forêt,112.85,95.02,15.81
Tourcoing,112.85,95.02,15.81
Auray,112.85,95.02,15.81
Montpellier,112.85,95.02,15.81
Jœuf,112.85,95.02,15.81
Déville-lès-Rouen,112.85,95.02,15.81
Montmagny,112.85,95.02,15.81
Loos,112.85,95.02,15.81
Bussy-Saint-Georges,112.28,94.6,15.74
Fontenay-le-Fleury,112.28,94.6,15.74
Anglet,112.28,94.6,15.74
Saint-Aubin-lès-Elbeuf,112.28,94.6,15.74
Hendaye,112.28,94.6,15.74
Valence,112.28,94.6,15.74
Villiers-sur-Marne,112.28,94.6,15.74
Denain,112.28,94.6,15.74
Ville-la-Grand,114.71,96.79,15.62
Mareil-Marly,114.71,96.79,15.62
Valenciennes,114.71,96.79,15.62
Saint-Genis-Pouilly,114.71,96.79,15.62
Maromme,114.71,96.79,15.62
Chelles,114.47,96.79,15.45
Montrouge,114.47,96.79,15.45
Bron,114.47,96.79,15.45
Carnoux-en-Provence,114.47,96.79,15.45
Croix,114.47,96.79,15.45
Orly,114.47,96.79,15.45
Groslay,114.47,96.79,15.45
Bergues,112.13,95.86,14.51
Épinay-sur-Orge,112.13,95.86,14.51
Saint-Ouen-l’Aumône,112.13,95.86,14.51
Montaigu,112.13,95.86,14.51
Tassin-la-Demi-Lune,112.13,95.86,14.51
Leers,112.13,95.86,14.51
Longwy,112.13,95.86,14.51
Clichy,112.13,95.86,14.51
Colombes,112.13,95.86,14.51
Essey-lès-Nancy,112.13,95.86,14.51
Beauchamp,112.13,95.86,14.51
Wingles,112.13,95.86,14.51
Douai,112.13,95.86,14.51
Fontaines-sur-Saône,112.13,95.86,14.51
Fâches-Thumesnil,112.13,95.86,14.51
Le Pontet,112.13,95.86,14.51
Chennevières-sur-Marne,112.13,95.86,14.51
