Point Départ,KNN,TWO_OPT,Amélioration (%)
Saint-Nazaire,63.99,58.12,9.18
Épinay-sur-Seine,63.99,58.32,8.86
Aulnay-sous-Bois,63.82,59.86,6.21
Lorient,63.78,59.85,6.18
Valence,63.04,59.92,4.95
Argenteuil,63.04,59.92,4.95
Lille,63.42,60.65,4.37
Grenoble,61.64,59.39,3.65
Nantes,61.26,59.05,3.6
Saint-Quentin,61.26,59.05,3.6
Reims,61.26,59.05,3.6
Dijon,61.33,59.21,3.47
Saint-Ouen,61.33,59.21,3.47
Nîmes,61.21,59.09,3.46
Cergy,61.21,59.09,3.46
Cannes,61.21,59.09,3.46
La Rochelle,61.21,59.09,3.46
Sevran,61.21,59.09,3.46
Drancy,61.33,59.22,3.43
Amiens,61.28,59.19,3.42
Créteil,61.18,59.12,3.38
Versailles,61.18,59.12,3.38
Vitry-sur-Seine,61.18,59.12,3.38
Angers,61.18,59.12,3.38
Vaulx-en-Velin,61.18,59.12,3.38
Corbeil-Essonnes,61.18,59.12,3.38
Vannes,61.18,59.12,3.38
Bondy,61.18,59.12,3.38
Boulogne-Billancourt,61.24,59.18,3.36
Perpignan,61.24,59.18,3.36
Tours,61.4,59.33,3.36
Mulhouse,61.4,59.33,3.36
Strasbourg,61.24,59.18,3.36
Lyon,61.23,59.19,3.34
Le Blanc-Mesnil,61.23,59.19,3.34
Saint-Denis,61.2,59.19,3.28
Maisons-Alfort,61.2,59.19,3.28
Limoges,61.2,59.19,3.28
Colombes,61.2,59.19,3.28
Nanterre,61.22,59.22,3.27
Bordeaux,61.22,59.22,3.27
Pantin,61.22,59.22,3.27
Toulon,61.22,59.22,3.27
Nice,61.21,59.22,3.25
Le Havre,61.21,59.22,3.25
Metz,61.21,59.22,3.25
Champigny-sur-Marne,61.17,59.24,3.16
Pau,61.19,59.26,3.16
Issy-les-Moulineaux,61.17,59.24,3.16
Aubervilliers,61.17,59.24,3.16
Clermont-Ferrand,61.17,59.24,3.16
Rouen,61.19,59.26,3.16
Chelles,61.19,59.26,3.16
Évry,61.17,59.24,3.16
Cagnes-sur-Mer,61.19,59.26,3.16
Neuilly-sur-Seine,61.17,59.24,3.16
Rueil-Malmaison,61.17,59.24,3.16
La Seyne-sur-Mer,61.17,59.24,3.16
Ivry-sur-Seine,61.17,59.24,3.16
Clichy,61.17,59.24,3.16
Tourcoing,61.19,59.26,3.16
Poitiers,61.17,59.24,3.16
Beauvais,61.21,59.3,3.12
Montpellier,61.21,59.3,3.12
Montreuil,61.21,59.3,3.12
Rennes,61.21,59.3,3.12
Marseille,61.12,59.24,3.09
Brest,61.12,59.24,3.09
Villeurbanne,61.12,59.24,3.09
Meaux,61.12,59.24,3.09
Saint-Maur-des-Fossés,61.12,59.24,3.09
Caen,61.12,59.24,3.09
Troyes,61.12,59.24,3.09
Antibes,61.16,59.4,2.88
Le Mans,61.16,59.4,2.88
Annecy,61.16,59.4,2.88
Antony,61.16,59.4,2.88
Bayonne,61.16,59.4,2.88
Sarcelles,61.16,59.4,2.88
Bellevue,61.16,59.4,2.88
Courbevoic,61.16,59.4,2.88
Nancy,61.16,59.4,2.88
Roubaix,61.16,59.4,2.88
Pessac,61.16,59.4,2.88
Orléans,60.79,59.22,2.58
Besançon,60.79,59.22,2.58
Aix-en-Provence,60.79,59.22,2.58
Saint-Étienne,60.79,59.22,2.58
Toulouse,60.79,59.22,2.58
Paris,60.79,59.22,2.58
Dunkerque,60.79,59.22,2.58
Mérignac,60.79,59.22,2.58
Calais,60.79,59.22,2.58
Levallois-Perret,60.79,59.22,2.58
Noisy-le-Grand,60.79,59.22,2.58
Vénissieux,60.79,59.22,2.58
Villejuif,60.79,59.22,2.58
Chambéry,60.79,59.22,2.58
Bobigny,60.79,59.22,2.58
Clamart,60.79,59.22,2.58
