Point Départ,KNN,TWO_OPT,Amélioration (%)
Billy-Montigny,121.1,92.92,23.27
Bourg-en-Bresse,118.07,92.54,21.63
Sathonay-Camp,118.49,92.91,21.59
Saint-Ouen,119.52,93.72,21.59
Égly,119.62,93.8,21.58
Tassin-la-Demi-Lune,119.69,93.9,21.55
Flers-lez-Lille,118.12,92.9,21.35
Palaiseau,118.51,93.24,21.32
Marcq-en-Baroeul,118.37,93.16,21.3
La Valette-du-Var,118.84,93.65,21.2
Courbevoic,118.84,93.65,21.2
Le Bouscat,118.44,93.35,21.19
Draveil,118.44,93.35,21.19
Meyzieu,117.74,92.84,21.15
Fontaine-lès-Dijon,117.74,92.84,21.15
Carrières-sur-Seine,117.74,92.84,21.15
Saintry-sur-Seine,119.57,94.28,21.15
La Bassée,117.74,92.84,21.15
La Madeleine,117.89,93.04,21.08
Chartres,117.89,93.04,21.08
Yvetot,118.59,93.71,20.98
Mandres-les-Roses,119.11,94.17,20.93
Orly,118.25,93.52,20.91
Noisiel,117.59,93.01,20.9
Champigny-sur-Marne,117.59,93.01,20.9
Bonneuil-sur-Marne,117.59,93.01,20.9
Chelles,117.77,93.24,20.82
Lille,117.77,93.24,20.82
La Montagne,117.77,93.24,20.82
Le Plessis-Robinson,117.72,93.26,20.78
Toufflers,117.72,93.26,20.78
Ivry-sur-Seine,117.72,93.26,20.78
Belfort,117.72,93.26,20.78
Orléans,117.72,93.26,20.78
Meudon,117.72,93.26,20.78
Valenton,117.8,93.56,20.57
Vincennes,118.55,94.19,20.55
Chaville,117.8,93.62,20.53
Brétigny-sur-Orge,117.8,93.62,20.53
Ramonville-Saint-Agne,117.8,93.62,20.53
Saint-Martin-d’Hères,117.85,93.71,20.49
Romainville,117.85,93.71,20.49
Cherbourg,117.77,93.66,20.47
Choisy-le-Roi,117.77,93.66,20.47
Échirolles,117.77,93.66,20.47
Le Mée-sur-Seine,117.74,93.66,20.45
Villiers-le-Bel,117.74,93.66,20.45
Rodez,117.74,93.66,20.45
Maisons-Alfort,117.74,93.66,20.45
Nevers,117.7,93.64,20.44
Rennes,116.97,93.06,20.44
Cluses,117.7,93.64,20.44
Menton,117.7,93.64,20.44
Bourg-la-Reine,116.97,93.06,20.44
Hem,116.97,93.06,20.44
Pessac,116.97,93.06,20.44
Beauzelle,117.36,93.4,20.41
Béthune,117.36,93.4,20.41
Champagne-au-Mont-d’Or,117.66,93.66,20.4
Maisons-Laffitte,117.66,93.66,20.4
Boussy-Saint-Antoine,118.22,94.12,20.38
Marseille,117.8,93.93,20.26
Tinqueux,117.8,93.97,20.23
Deuil-la-Barre,117.8,93.97,20.23
Villemomble,118.1,94.3,20.16
Le Kremlin-Bicêtre,118.1,94.3,20.16
Bobigny,118.1,94.3,20.16
Noisy-le-Sec,117.75,94.03,20.15
Vannes,117.75,94.03,20.15
La Penne-sur-Huveaune,118.47,94.61,20.14
Saint-Nicolas,117.61,93.94,20.12
Sochaux,117.61,93.94,20.12
Bois-Colombes,117.61,93.94,20.12
Calais,118.0,94.28,20.1
Vélizy-Villacoublay,118.0,94.28,20.1
Wattrelos,119.18,95.24,20.09
Athis-Mons,117.77,94.11,20.09
Corbeil-Essonnes,117.77,94.11,20.09
Arras,117.93,94.28,20.06
Cachan,117.93,94.28,20.06
Aix-en-Provence,117.93,94.28,20.06
Octeville,117.64,94.11,20.0
Neuville-lès-Dieppe,117.55,94.05,19.98
Bègles,117.55,94.05,19.98
Hellemmes-Lille,117.35,93.96,19.94
