Point Départ,KNN,TWO_OPT,Amélioration (%)
Malakoff,119.83,93.08,22.32
Annemasse,119.83,93.13,22.28
Boulogne-sur-Mer,121.2,94.46,22.06
Rueil-Malmaison,118.51,92.7,21.78
La Garenne-Colombes,120.7,94.55,21.67
Bois-d’Arcy,118.07,92.54,21.63
Cenon,119.35,93.6,21.58
Villeneuve-Saint-Georges,118.51,93.24,21.32
Sainte-Foy-lès-Lyon,118.51,93.24,21.32
Montereau-faut-Yonne,118.44,93.35,21.19
Le Blanc-Mesnil,117.74,92.84,21.15
Mandres-les-Roses,117.74,92.84,21.15
Wattrelos,117.74,92.84,21.15
Fort-Mardyck,117.74,92.84,21.15
Saint-Sébastien-sur-Loire,117.89,93.04,21.08
Beauchamp,117.79,93.0,21.05
Arras,117.79,93.0,21.05
Lormont,117.79,93.0,21.05
Huningue,117.79,93.0,21.05
Saint-Priest-en-Jarez,117.79,93.0,21.05
Lens,117.8,93.0,21.05
Liancourt,118.83,93.85,21.02
Persan,118.25,93.52,20.91
Les Clayes-sous-Bois,117.59,93.01,20.9
Vaucresson,117.79,93.18,20.9
La Verrière,117.59,93.01,20.9
Denain,117.79,93.18,20.9
Firminy,117.72,93.26,20.78
Bagneux,117.72,93.26,20.78
Bihorel,117.72,93.26,20.78
Villecresnes,117.72,93.26,20.78
Champigny-sur-Marne,117.72,93.26,20.78
Caluire-et-Cuire,118.9,94.24,20.74
Deuil-la-Barre,119.57,94.91,20.62
Corbeil-Essonnes,118.91,94.42,20.6
Saint-Germain-lès-Arpajon,118.46,94.08,20.58
Bourg-la-Reine,118.46,94.08,20.58
Creil,118.46,94.08,20.58
Meylan,117.8,93.56,20.57
Longjumeau,117.8,93.56,20.57
Alfortville,118.3,94.01,20.53
Wingles,117.8,93.62,20.53
Sèvres,118.3,94.01,20.53
Viry-Châtillon,117.8,93.62,20.53
Morangis,118.85,94.45,20.53
Crosne,117.89,93.71,20.52
Clichy,117.89,93.71,20.52
Noisy-le-Sec,117.85,93.71,20.49
Arpajon,117.77,93.66,20.47
Plaisir,117.77,93.66,20.47
Strasbourg,117.7,93.64,20.44
Grenoble,116.97,93.06,20.44
Billy-Montigny,117.7,93.64,20.44
Ville-d’Avray,116.97,93.06,20.44
Lons-le-Saunier,117.7,93.64,20.44
Athis-Mons,116.97,93.06,20.44
Magny-le-Hongre,117.7,93.64,20.44
Leuville-sur-Orge,119.23,94.88,20.42
Flers-lez-Lille,117.36,93.4,20.41
Lorient,117.36,93.4,20.41
Lomme,117.36,93.4,20.41
Haubourdin,117.36,93.4,20.41
Écully,117.36,93.4,20.41
Saint-Jean,117.66,93.66,20.4
Mont-Saint-Aignan,117.66,93.66,20.4
Eybens,117.66,93.66,20.4
Sathonay-Camp,118.22,94.12,20.38
Tournefeuille,117.8,93.93,20.26
Beausoleil,118.47,94.47,20.26
Vandœuvre-lès-Nancy,117.8,93.97,20.23
Fontenay-le-Fleury,117.8,93.97,20.23
Waziers,118.1,94.3,20.16
Caudebec-lès-Elbeuf,117.75,94.03,20.15
Déville-lès-Rouen,118.28,94.46,20.14
Rouen,117.61,93.94,20.12
Bonneuil-sur-Marne,118.0,94.28,20.1
Garches,118.0,94.28,20.1
Jacou,117.77,94.11,20.09
L’Île-Saint-Denis,117.64,94.11,20.0
Le Havre,117.64,94.11,20.0
Bordeaux,117.64,94.11,20.0
Aucamville,117.55,94.05,19.98
Limoges,117.55,94.05,19.98
Boulogne-Billancourt,117.55,94.05,19.98
Drancy,117.35,93.96,19.94
Conflans-Sainte-Honorine,117.35,93.96,19.94
Fleury-les-Aubrais,117.35,93.96,19.94
Champs-Sur-Marne,117.35,93.96,19.94
Saint-Maurice,117.34,93.96,19.93
Laval,117.34,93.96,19.93
Agen,117.34,93.96,19.93
Hœnheim,116.54,93.34,19.91
Paris,118.25,94.7,19.91
Cluses,118.25,94.7,19.91
Sochaux,116.5,93.31,19.9
Brétigny-sur-Orge,116.5,93.31,19.9
Guyancourt,116.5,93.31,19.9
Les Noës-près-Troyes,116.5,93.31,19.9
Le Grand-Quevilly,116.5,93.31,19.9
Carrières-sous-Poissy,116.5,93.31,19.9
Chamalières,116.5,93.31,19.9
Palavas-les-Flots,116.81,93.59,19.88
Bruay-sur-l’Escaut,118.16,94.67,19.88
L’Union,118.16,94.67,19.88
Alençon,116.81,93.59,19.88
Sotteville-lès-Rouen,118.16,94.67,19.88
Jacob-Bellecombette,118.16,94.67,19.88
Courchelettes,116.81,93.59,19.88
Le Mans,117.97,94.59,19.82
Pau,117.97,94.59,19.82
Chartres,118.62,95.16,19.78
Thiais,118.62,95.16,19.78
Croix,117.34,94.18,19.74
Avesnes-sur-Helpe,117.34,94.18,19.74
Évry,117.34,94.18,19.74
Montigny-lès-Metz,117.34,94.18,19.74
Saint-Étienne-du-Rouvray,117.76,94.53,19.73
Saint-Genis-Laval,116.23,93.34,19.7
Saint-Leu-la-Forêt,116.23,93.34,19.7
Schiltigheim,116.23,93.34,19.7
Sète,116.23,93.34,19.7
Villiers-le-Bel,116.23,93.34,19.7
Sainte-Foy-la-Grande,116.23,93.34,19.7
Ivry-sur-Seine,116.23,93.34,19.7
Ascq,118.06,94.87,19.64
Chalon-sur-Saône,118.06,94.87,19.64
Vaulx-en-Velin,117.89,94.82,19.57
Nanterre,116.98,94.11,19.55
La Bassée,116.98,94.11,19.55
Le Plessis-Bouchard,116.94,94.1,19.54
Wattignies,116.94,94.1,19.54
Marly-le-Roi,118.44,95.33,19.51
Talange,117.77,94.84,19.47
Saint-Fons,117.77,94.84,19.47
Pantin,117.77,94.84,19.47
Montgeron,117.61,94.73,19.45
Aulnay-sous-Bois,117.61,94.73,19.45
Le Bourget,117.61,94.73,19.45
Calais,119.1,95.95,19.43
Grenay,117.77,94.88,19.43
Bègles,117.4,94.59,19.43
Saint-Ouen-l’Aumône,117.4,94.59,19.43
Thonon-les-Bains,117.97,95.06,19.42
Mantes-la-Jolie,117.97,95.06,19.42
Le Mesnil-le-Roi,117.83,94.95,19.42
La Mulatière,117.56,94.74,19.41
Moulins,117.79,94.94,19.41
Lourches,117.79,94.94,19.41
Cappelle-la-Grande,117.56,94.74,19.41
Villerupt,118.2,95.27,19.4
Cesson,114.95,92.65,19.4
Villejuif,114.95,92.65,19.4
Villenave-d’Ornon,114.95,92.65,19.4
Montmagny,114.95,92.65,19.4
Chevilly-Larue,114.95,92.65,19.4
Chilly-Mazarin,118.2,95.27,19.4
Saint-Mandé,114.95,92.65,19.4
Limeil-Brévannes,114.95,92.65,19.4
Villeneuve-la-Garenne,114.95,92.65,19.4
Maubeuge,114.95,92.65,19.4
Rezé,117.82,94.97,19.39
Rouelles,117.82,94.97,19.39
Cagnes-sur-Mer,117.94,95.12,19.35
Wasquehal,117.77,94.99,19.34
Caen,117.77,94.99,19.34
Valenciennes,117.77,94.99,19.34
Aix-en-Provence,117.77,94.99,19.34
Yerres,116.83,94.28,19.3
Chatou,116.83,94.28,19.3
Lisieux,116.83,94.28,19.3
Vaires-sur-Marne,116.83,94.28,19.3
Oberhausbergen,116.84,94.3,19.29
La Frette-sur-Seine,116.84,94.3,19.29
La Tour-du-Pin,116.83,94.3,19.28
Fontaine-lès-Dijon,116.83,94.3,19.28
Neuville-en-Ferrain,116.83,94.3,19.28
Villefranche-sur-Saône,116.83,94.3,19.28
Meaux,117.79,95.08,19.27
Bully-les-Mines,117.79,95.08,19.27
Le Bouscat,118.49,95.8,19.15
Fontaines-sur-Saône,114.88,92.94,19.1
Annecy,114.88,92.94,19.1
Bougival,114.88,92.94,19.1
Melun,114.88,92.94,19.1
Saint-Cyr-l’École,114.88,92.94,19.1
Vélizy-Villacoublay,117.81,95.31,19.1
Barby,116.5,94.28,19.07
Le Plessis-Trévise,116.5,94.28,19.07
Saint-Brieuc,117.81,95.34,19.07
Ville-la-Grand,116.5,94.28,19.07
Saintry-sur-Seine,116.5,94.28,19.07
Guingamp,117.81,95.34,19.07
Floirac,116.5,94.28,19.07
Francheville,116.5,94.28,19.07
Souffelweyersheim,117.78,95.34,19.05
Ormesson-sur-Marne,117.14,94.87,19.01
Beaumont-sur-Oise,117.14,94.87,19.01
Luisant,117.14,94.87,19.01
Stains,117.14,94.87,19.01
Châtenay-Malabry,117.14,94.87,19.01
Loos,117.31,95.03,18.99
Le Kremlin-Bicêtre,117.31,95.03,18.99
Magnanville,117.31,95.03,18.99
Riedisheim,117.31,95.03,18.99
Dunkerque,114.94,93.2,18.92
Villeurbanne,114.94,93.2,18.92
Vauréal,114.94,93.2,18.92
Fougères,114.94,93.2,18.92
Épinay-sur-Orge,114.94,93.2,18.92
Bois-Colombes,116.81,94.74,18.89
Levallois-Perret,116.81,94.74,18.89
Palaiseau,116.81,94.74,18.89
Saint-Julien-en-Genevois,116.81,94.74,18.89
Tomblaine,117.49,95.33,18.86
Charleville-Mézières,117.49,95.33,18.86
Combs-la-Ville,117.49,95.33,18.86
Nogent-sur-Marne,117.49,95.33,18.86
Ramonville-Saint-Agne,117.49,95.33,18.86
Verneuil-sur-Seine,114.89,93.27,18.82
Ris-Orangis,114.89,93.27,18.82
Gradignan,114.89,93.27,18.82
Livry-Gargan,114.89,93.27,18.82
Menucourt,114.89,93.27,18.82
Bassens,114.89,93.27,18.82
Rennes,116.83,94.91,18.76
Lille,116.83,94.91,18.76
Vanves,116.83,94.91,18.76
