Point Départ,KNN,TWO_OPT,Amélioration (%)
Toulon,71.39,50.95,28.64
Nice,70.13,53.56,23.62
Clermont-Ferrand,67.67,52.32,22.69
Reims,66.75,51.88,22.28
Montpellier,65.51,50.95,22.23
Villeurbanne,64.94,50.97,21.51
Caen,65.6,51.54,21.43
Lille,65.39,51.68,20.96
Marseille,65.43,51.79,20.84
Nîmes,68.23,54.1,20.72
Tourcoing,65.46,52.01,20.55
Limoges,62.79,50.01,20.35
Lyon,65.01,52.13,19.81
Mulhouse,64.48,51.78,19.69
Aubervilliers,63.97,51.65,19.26
Bordeaux,62.6,50.55,19.26
Amiens,64.07,51.79,19.17
Saint-Denis,63.93,51.86,18.87
Dunkerque,64.87,53.05,18.23
Nanterre,63.81,52.24,18.13
Toulouse,63.97,52.38,18.12
Roubaix,65.48,53.67,18.03
Tours,63.03,51.72,17.94
Strasbourg,63.81,52.42,17.84
Rennes,65.26,53.64,17.81
Brest,65.26,53.64,17.81
Aulnay-sous-Bois,63.93,52.73,17.51
Nantes,65.86,54.34,17.5
Perpignan,65.23,53.92,17.35
Saint-Étienne,65.48,54.8,16.3
Le Mans,63.56,53.24,16.25
Besançon,62.56,52.42,16.2
Poitiers,62.74,52.69,16.02
Angers,62.73,52.81,15.81
Metz,64.14,54.39,15.2
Grenoble,63.07,53.49,15.19
Aix-en-Provence,65.35,55.44,15.16
Dijon,60.69,51.83,14.61
Rouen,61.97,53.24,14.1
Annecy,63.04,54.27,13.92
Nancy,62.93,55.01,12.59
Le Havre,62.77,55.12,12.18
Montreuil,59.62,53.03,11.05
Vitry-sur-Seine,59.58,53.06,10.94
Orléans,60.06,53.5,10.92
Boulogne-Billancourt,59.55,53.14,10.75
Argenteuil,59.76,53.94,9.73
Colombes,59.75,54.02,9.59
Paris,59.57,53.9,9.53
Créteil,59.5,54.33,8.7
