Paris;48.8567;2.3522
Bordeaux;44.8400;-0.5800
Marseille;43.2964;5.3700
Lyon;45.7600;4.8400
Toulouse;43.6045;1.4440
Nice;43.7034;7.2663
Nantes;47.2181;-1.5528
Montpellier;43.6119;3.8772
Strasbourg;48.5833;7.7458
Lille;50.6278;3.0583
Rennes;48.1147;-1.6794
Toulon;43.1258;5.9306
Reims;49.2628;4.0347
Saint-Étienne;45.4347;4.3903
Le Havre;49.4900;0.1000
Dijon;47.3167;5.0167
Grenoble;45.1715;5.7224
Angers;47.4736;-0.5542
Villeurbanne;45.7667;4.8803
Nîmes;43.8383;4.3597
Aix-en-Provence;43.5263;5.4454
Clermont-Ferrand;45.7831;3.0824
Le Mans;48.0077;0.1984
Brest;48.3900;-4.4900
Tours;47.3936;0.6892
Amiens;49.8920;2.2990
Annecy;45.9160;6.1330
Limoges;45.8353;1.2625
Metz;49.1203;6.1778
Boulogne-Billancourt;48.8352;2.2409
Perpignan;42.6986;2.8956
Besançon;47.2400;6.0200
Orléans;47.9025;1.9090
Rouen;49.4428;1.0886
Saint-Denis;48.9356;2.3539
Montreuil;48.8611;2.4436
Caen;49.1814;-0.3636
Argenteuil;48.9500;2.2500
Mulhouse;47.7500;7.3400
Nancy;48.6936;6.1846
Tourcoing;50.7239;3.1612
Roubaix;50.6901;3.1817
Nanterre;48.8988;2.1969
Vitry-sur-Seine;48.7875;2.3928
Créteil;48.7911;2.4628
Poitiers;46.5800;0.3400
Aubervilliers;48.9131;2.3831
Colombes;48.9236;2.2522
Dunkerque;51.0383;2.3775
Aulnay-sous-Bois;48.9386;2.4906
Versailles;48.8053;2.1350
Courbevoic;48.8978;2.2531
La Rochelle;46.1600;-1.1500
Rueil-Malmaison;48.8760;2.1810
Champigny-sur-Marne;48.8172;2.5156
Pau;43.3000;-0.3700
Mérignac;44.8386;-0.6436
Saint-Maur-des-Fossés;48.7994;2.4997
Antibes;43.5808;7.1239
Cannes;43.5513;7.0128
Saint-Nazaire;47.2736;-2.2139
Drancy;48.9300;2.4500
Noisy-le-Grand;48.8478;2.5528
Issy-les-Moulineaux;48.8239;2.2700
Cergy;49.0361;2.0631
Levallois-Perret;48.8950;2.2872
Calais;50.9481;1.8564
Pessac;44.8067;-0.6311
Vénissieux;45.6969;4.8858
Clichy;48.9044;2.3064
Valence;44.9333;4.8917
Ivry-sur-Seine;48.8078;2.3747
Antony;48.7539;2.2975
Troyes;48.2997;4.0792
La Seyne-sur-Mer;43.1000;5.8830
Pantin;48.8966;2.4017
Chambéry;45.5700;5.9118
Neuilly-sur-Seine;48.8881;2.2686
Sarcelles;48.9956;2.3808
Le Blanc-Mesnil;48.9387;2.4614
Maisons-Alfort;48.8058;2.4378
Lorient;47.7500;-3.3600
Villejuif;48.7919;2.3636
Bellevue;48.8710;2.3850
Beauvais;49.4303;2.0952
Meaux;48.9603;2.8883
Bobigny;48.9106;2.4397
Clamart;48.8014;2.2628
Vannes;47.6559;-2.7603
Chelles;48.8833;2.6000
Évry;48.6238;2.4296
Épinay-sur-Seine;48.9553;2.3092
Saint-Ouen;48.9123;2.3342
Saint-Quentin;49.8486;3.2864
Bondy;48.9022;2.4828
Bayonne;43.4900;-1.4800
Corbeil-Essonnes;48.6139;2.4820
Cagnes-sur-Mer;43.6644;7.1489
Vaulx-en-Velin;45.7768;4.9186
Sevran;48.9333;2.5333
Fontenay-sous-Bois;48.8517;2.4772
Sartrouville;48.9372;2.1644
Massy;48.7309;2.2713
Laval;48.0733;-0.7689
Saint-Herblain;47.2122;-1.6497
Gennevilliers;48.9333;2.3000
Suresnes;48.8700;2.2200
Saint-Priest;45.6964;4.9439
Vincennes;48.8478;2.4392
Montrouge;48.8172;2.3219
Évreux;49.0200;1.1500
La Courneuve;48.9322;2.3967
Charleville-Mézières;49.7719;4.7161
Meudon;48.8123;2.2382
Choisy-le-Roi;48.7630;2.4090
Noisy-le-Sec;48.8894;2.4503
Livry-Gargan;48.9192;2.5361
Rosny-sous-Bois;48.8667;2.4833
Talence;44.8000;-0.5840
Belfort;47.6400;6.8500
Alfortville;48.8050;2.4239
Chalon-sur-Saône;46.7806;4.8528
Sète;43.4053;3.6975
Mantes-la-Jolie;48.9908;1.7172
Saint-Brieuc;48.5136;-2.7653
Tarbes;43.2300;0.0700
Alès;44.1281;4.0817
Châlons-en-Champagne;48.9575;4.3650
Bagneux;48.7983;2.3137
Puteaux;48.8850;2.2389
Caluire-et-Cuire;45.7953;4.8472
Bron;45.7386;4.9131
Rezé;47.1917;-1.5694
Valenciennes;50.3581;3.5233
Châteauroux;46.8103;1.6911
Garges-lès-Gonesse;48.9728;2.4008
Arras;50.2920;2.7800
Melun;48.5406;2.6600
Le Cannet;43.5769;7.0194
Bourg-en-Bresse;46.2056;5.2289
Anglet;43.4850;-1.5183
Angoulême;45.6500;0.1600
Boulogne-sur-Mer;50.7264;1.6147
Wattrelos;50.7000;3.2170
Villenave-d’Ornon;44.7806;-0.5658
Stains;48.9500;2.3833
Gagny;48.8833;2.5333
Colomiers;43.6139;1.3367
Poissy;48.9294;2.0456
Douai;50.3714;3.0800
Bagnolet;48.8692;2.4181
Marcq-en-Baroeul;50.6711;3.0972
Villepinte;48.9550;2.5410
Saint-Martin-d’Hères;45.1672;5.7653
Chartres;48.4560;1.4840
Annemasse;46.1958;6.2364
Neuilly-sur-Marne;48.8537;2.5490
Franconville;48.9889;2.2314
Savigny-sur-Orge;48.6797;2.3457
Thonon-les-Bains;46.3627;6.4750
Échirolles;45.1436;5.7183
Châtillon;48.8000;2.2900
Athis-Mons;48.7074;2.3889
Creil;49.2583;2.4833
Conflans-Sainte-Honorine;48.9992;2.0983
Villefranche-sur-Saône;45.9833;4.7167
Meyzieu;45.7667;5.0036
Sainte-Geneviève-des-Bois;48.6369;2.3403
Villeneuve-Saint-Georges;48.7325;2.4497
Châtenay-Malabry;48.7653;2.2781
Palaiseau;48.7145;2.2457
Roanne;46.0367;4.0689
Le Perreux-Sur-Marne;48.8422;2.5036
Schiltigheim;48.6078;7.7500
Les Mureaux;48.9875;1.9172
Trappes;48.7775;2.0025
Nogent-sur-Marne;48.8375;2.4833
Houilles;48.9261;2.1892
Montluçon;46.3408;2.6033
Romainville;48.8840;2.4350
Nevers;46.9933;3.1572
Lens;50.4322;2.8333
Agen;44.2049;0.6212
Pierrefitte-sur-Seine;48.9656;2.3614
Bezons;48.9261;2.2178
Aix-les-Bains;45.6886;5.9150
Montigny-le-Bretonneux;48.7711;2.0333
Cambrai;50.1767;3.2356
L’Haÿ-les-Roses;48.7800;2.3374
Plaisir;48.8183;1.9472
Pontoise;49.0516;2.1017
Rillieux-la-Pape;45.8214;4.8983
Thiais;48.7650;2.3923
Vigneux-sur-Seine;48.7001;2.4170
