Point Départ,KNN,TWO_OPT,Amélioration (%)
Croix,118.13,91.65,22.42
Morangis,118.13,91.65,22.42
La Celle-Saint-Cloud,119.83,93.13,22.28
Bougival,118.55,92.58,21.91
Port-Louis,119.51,93.68,21.61
Saint-Égrève,118.12,92.9,21.35
Fontenay-sous-Bois,118.37,93.16,21.3
Blagnac,118.44,93.35,21.19
Nîmes,117.74,92.84,21.15
Franconville,117.74,92.84,21.15
Épinay-sous-Sénart,117.74,92.84,21.15
Garges-lès-Gonesse,117.89,93.04,21.08
Les Clayes-sous-Bois,117.79,93.0,21.05
Bayeux,117.8,93.0,21.05
Chalon-sur-Saône,117.79,93.0,21.05
Fontaines-sur-Saône,117.79,93.0,21.05
Beauzelle,117.59,93.01,20.9
Noyelles-sous-Lens,117.59,93.01,20.9
Mouvaux,117.59,93.01,20.9
Gaillard,117.79,93.18,20.9
Houilles,117.59,93.01,20.9
Villeneuve-le-Roi,118.23,93.56,20.87
Charleville-Mézières,117.77,93.24,20.82
Sartrouville,119.26,94.43,20.82
Cormeilles-en-Parisis,117.77,93.24,20.82
Sarcelles,117.72,93.26,20.78
Aucamville,117.72,93.26,20.78
Pierrefitte-sur-Seine,117.72,93.26,20.78
Roissy-en-Brie,118.46,94.08,20.58
Mérignac,117.8,93.56,20.57
Kingersheim,118.55,94.19,20.55
Villeurbanne,118.3,94.01,20.53
Fosses,117.8,93.62,20.53
Vincennes,117.8,93.62,20.53
Montlhéry,117.89,93.71,20.52
Les Sables-d’Olonne,118.25,93.99,20.51
Sevran,117.77,93.66,20.47
Saint-Pol-sur-Mer,117.74,93.66,20.45
Pau,117.7,93.64,20.44
Arcueil,116.97,93.06,20.44
Bures-sur-Yvette,116.97,93.06,20.44
Boulogne-sur-Mer,116.97,93.06,20.44
Rosny-sous-Bois,117.7,93.64,20.44
Bois-Guillaume,116.97,93.06,20.44
Le Ban-Saint-Martin,116.97,93.06,20.44
Strasbourg,117.36,93.4,20.41
Bischheim,117.36,93.4,20.41
Jouy-le-Moutier,117.36,93.4,20.41
Courchelettes,117.36,93.4,20.41
Bobigny,117.66,93.66,20.4
Andrésy,117.66,93.66,20.4
Leers,117.66,93.66,20.4
Sceaux,118.39,94.25,20.39
Saint-Jean,117.8,93.93,20.26
Chanteloup-les-Vignes,118.47,94.47,20.26
Charenton-le-Pont,117.8,93.93,20.26
Aubervilliers,117.8,93.93,20.26
Le Petit-Quevilly,117.8,93.93,20.26
Menton,117.8,93.97,20.23
Anzin,117.8,93.97,20.23
Beauchamp,118.1,94.3,20.16
Montigny-lès-Metz,117.75,94.03,20.15
Le Grand-Quevilly,117.75,94.03,20.15
Sochaux,118.26,94.43,20.15
Petite-Synthe,118.26,94.43,20.15
Méricourt,118.28,94.46,20.14
Jarville-la-Malgrange,117.61,93.94,20.12
Rodez,117.61,93.94,20.12
Saint-Nicolas,118.0,94.28,20.1
Vannes,118.0,94.28,20.1
Malakoff,117.77,94.11,20.09
Égly,119.18,95.24,20.09
Les Mureaux,117.77,94.11,20.09
Bry-sur-Marne,119.18,95.24,20.09
Béthune,117.77,94.11,20.09
Bordeaux,117.64,94.11,20.0
Nogent-sur-Oise,117.55,94.05,19.98
Chartres,117.34,93.96,19.93
Vaulx-en-Velin,117.34,93.96,19.93
Trappes,117.34,93.96,19.93
Moulins,117.34,93.96,19.93
L’Arbresle,117.34,93.96,19.93
Cugnaux,118.08,94.57,19.92
Évry,116.54,93.34,19.91
Riedisheim,116.54,93.34,19.91
Maisons-Laffitte,116.54,93.34,19.91
Hellemmes-Lille,116.5,93.31,19.9
Saint-Brice-sous-Forêt,116.5,93.31,19.9
Lys-lès-Lannoy,118.32,94.78,19.89
Cherbourg,116.81,93.59,19.88
Rive-de-Gier,116.81,93.59,19.88
Le Plessis-Trévise,116.81,93.59,19.88
Besançon,118.62,95.16,19.78
L’Isle-d’Abeau,118.62,95.16,19.78
Cran-Gévrier,118.25,94.89,19.75
Fort-Mardyck,118.25,94.89,19.75
Neuves-Maisons,117.34,94.18,19.74
La Salvetat-Saint-Gilles,117.34,94.18,19.74
Yvetot,117.34,94.18,19.74
Grigny,117.34,94.18,19.74
Lognes,117.76,94.53,19.73
Pérenchies,118.48,95.11,19.73
Saint-Gratien,118.48,95.11,19.73
Tourcoing,117.66,94.46,19.72
Neuilly-Plaisance,117.66,94.46,19.72
Draveil,116.23,93.34,19.7
Villeneuve-la-Garenne,116.23,93.34,19.7
Menucourt,116.23,93.34,19.7
Saint-Alban,118.06,94.87,19.64
La Penne-sur-Huveaune,118.23,95.02,19.63
Lyon,118.3,95.16,19.56
Champigny-sur-Marne,116.98,94.11,19.55
Crosne,116.98,94.11,19.55
Wattrelos,116.98,94.11,19.55
Montigny-en-Gohelle,116.94,94.1,19.54
Dijon,116.94,94.1,19.54
Souffelweyersheim,116.94,94.1,19.54
Palaiseau,117.77,94.84,19.47
Ronchin,117.61,94.73,19.45
Éleu-dit-Leauwette,117.4,94.59,19.43
Le Pecq,117.4,94.59,19.43
Saint-Germain-lès-Arpajon,117.77,94.88,19.43
Jacou,117.4,94.59,19.43
Audincourt,117.97,95.06,19.42
Thonon-les-Bains,117.83,94.95,19.42
Châtillon,117.97,95.06,19.42
Bellevue,117.79,94.94,19.41
Évreux,117.79,94.94,19.41
Boulogne-Billancourt,118.21,95.26,19.41
La Mulatière,118.21,95.26,19.41
Massy,118.21,95.26,19.41
Montigny-lès-Cormeilles,117.56,94.74,19.41
Roanne,117.56,94.74,19.41
Brétigny-sur-Orge,117.56,94.74,19.41
Talant,117.79,94.94,19.41
Champagne-au-Mont-d’Or,117.56,94.74,19.41
Maromme,118.21,95.26,19.41
Élancourt,114.95,92.65,19.4
Le Kremlin-Bicêtre,114.95,92.65,19.4
Montigny-le-Bretonneux,114.95,92.65,19.4
Viry-Châtillon,114.95,92.65,19.4
Versailles,114.95,92.65,19.4
Saint-Cyr-l’École,114.95,92.65,19.4
Maisons-Alfort,114.95,92.65,19.4
Bondy,114.95,92.65,19.4
Amiens,114.95,92.65,19.4
Liancourt,114.95,92.65,19.4
Metz,117.82,94.97,19.39
Évian-les-Bains,117.82,94.97,19.39
Alençon,117.82,94.97,19.39
Octeville,117.82,94.97,19.39
Neuville-en-Ferrain,117.82,94.97,19.39
Chilly-Mazarin,117.94,95.12,19.35
Bois-Colombes,117.77,94.99,19.34
Neuville-Saint-Rémy,116.83,94.28,19.3
Bihorel,116.83,94.28,19.3
Cenon,116.83,94.28,19.3
Deuil-la-Barre,116.83,94.28,19.3
Soisy-sous-Montmorency,116.83,94.28,19.3
Sète,116.84,94.3,19.29
Toufflers,116.84,94.3,19.29
Avesnes-sur-Helpe,116.84,94.3,19.29
Perpignan,116.84,94.3,19.29
Enghien-les-Bains,116.83,94.3,19.28
Juvisy-sur-Orge,116.83,94.3,19.28
Terville,116.83,94.3,19.28
Neauphle-le-Château,116.83,94.3,19.28
Arnouville-lès-Gonesse,116.83,94.3,19.28
Saint-Leu-la-Forêt,116.83,94.3,19.28
Illzach,117.79,95.08,19.27
Brunoy,117.79,95.08,19.27
L’Île-Saint-Denis,117.79,95.08,19.27
Garches,114.88,92.94,19.1
Villerupt,114.88,92.94,19.1
Creil,114.88,92.94,19.1
Échirolles,114.88,92.94,19.1
Villers-lès-Nancy,117.81,95.31,19.1
La Ville-du-Bois,114.88,92.94,19.1
Écully,114.88,92.94,19.1
Sainte-Foy-la-Grande,114.88,92.94,19.1
Carrières-sur-Seine,114.88,92.94,19.1
Stains,114.88,92.94,19.1
Marly,117.81,95.34,19.07
Thorigny-sur-Marne,116.5,94.28,19.07
Annemasse,117.81,95.34,19.07
Haubourdin,116.5,94.28,19.07
Les Pavillons-sous-Bois,117.83,95.36,19.07
Melun,116.5,94.28,19.07
Aulnay-sous-Bois,116.5,94.28,19.07
Magnanville,116.5,94.28,19.07
Mont-Saint-Aignan,116.5,94.28,19.07
Courcelles-les-Lens,116.5,94.28,19.07
Meaux,116.5,94.28,19.07
Villefranche-sur-Saône,117.81,95.34,19.07
Le Mesnil-Esnard,117.78,95.34,19.05
Villiers-sur-Orge,117.14,94.87,19.01
Colombes,117.14,94.87,19.01
Reims,117.14,94.87,19.01
Grenoble,117.14,94.87,19.01
Saint-Max,117.14,94.87,19.01
Rueil-Malmaison,117.14,94.87,19.01
Vélizy-Villacoublay,117.31,95.03,18.99
Sainte-Geneviève-des-Bois,117.31,95.03,18.99
